"","entityName","loc","sic","sicDescription","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4","2008Q1"
"11","MICROCHIP TECHNOLOGY INCORPORATED","US-AZ",3674,"Semiconductors & Related Devices",75547000,75720000,72356000,-76359.2948922471,27368000,44485000,69403000,33920573.9676485,89566000,103080000,100776000,125528000,99293000,79287000,77489000,80636000,78710000,-21184000,10173000,59690000,59775881.5390448,57599184.906336,57568493.9078908,111495000,66163083.1442852,53858638.782743,63109746.2754425,37524896.5281518,53910372.8115839,56288360.5635737,49673171.7078789,42865093.9699267,-113363000,58634127.6613884,48261513.9403906,39334088.3488534,78176232.3553206,65907962.4522432,11026133.4249789,67418493.0415576,91128484.3161808,71249073.9201673,60138184.6963619,82677895.5237681,91529821.0285368,77469144.1695253,74947739.4053836,12109235.2749244,123600000,73600000,36200000,48720838.7859235,252800000,2.42e+08,352800000,NA
"12","Starbucks Corporation","US-WA",5810,"Retail-Eating & Drinking Places",-6700000,496850341.60312,64300000,2.5e+07,151500000,31713622.1916578,241500000,217300000,207900000,551187854.315153,346600000,261600000,279100000,641947904.098663,382100000,309900000,333100000,810768654.61632,432200000,390400000,417800000,-1.232e+09,540700000,4.27e+08,512600000,587900000,983100000,494900000,626700000,652500000,687600000,575100000,754100000,8.01e+08,751800000,652800000,691600000,788500000,2250200000,660100000,852500000,755800000,760600000,663200000,1372800000,802900000,885700000,328400000,-678400000,392600000,622200000,659400000,1153400000,1525068766.42168,815900000,NA
"13","JOHNSON CONTROLS INTERNATIONAL PLC","IE-",3585,"Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip",4.76e+08,70699501.5583617,2.77e+08,-2.567e+09,2.87e+08,20034726.6669733,3.02e+08,3.1e+08,2.54e+08,2.66e+08,6.59e+08,3.15e+08,3.59e+08,4e+08,3.22e+08,3.23e+08,2.46e+08,27085895.9475075,1.63e+08,7.2e+07,1.35e+08,57599184.906336,2.7e+08,2.07e+08,1.45e+09,53858638.782743,1.62e+08,1.67e+08,1.56e+08,56288360.5635737,4.5e+08,-5.3e+08,3.83e+08,58634127.6613884,3.29e+08,-1.48e+08,5.55e+08,65907962.4522432,2.3e+08,4.38e+08,7.23e+08,71249073.9201673,3.55e+08,5.15e+08,4.192e+09,77469144.1695253,1.59e+08,2.13e+08,-1.82e+08,45765942.0626887,4.51e+08,3.43e+08,5.74e+08,118066066.620738,3.81e+08,NA
"14","ROPER TECHNOLOGIES, INC.","US-FL",3823,"Industrial Instruments For Measurement, Display, and Control",74523000,74029000,-2081061.76951388,51559000,59588000,56410000,71924000,59725000,71281000,84263000,107311000,88979000,106311000,110281000,121676000,108309000,114813000,116708000,143530000,124914000,111353000,136323000,165703000,147226000,157361000,155510000,185936000,155773000,171280000,160417000,208597000,151416000,158069000,167079000,182081000,158100000,179500000,190300000,443900000,211300000,228400000,247600000,257100000,369600000,249700000,277500000,871100000,240300000,219200000,234400000,255800000,2.89e+08,286300000,289500000,287800000,NA
"15","Fidelity National Information Services, Inc.","US-FL",7389,"Services-Business Services, NEC",71900000,43600000,-2081061.76951388,3.3e+07,59200000,67600000,46351978.9499884,93600000,89900000,110400000,34838096.7683116,92800000,123500000,136300000,49623414.1703358,87100000,150600000,86800000,49539050.1231798,144100000,104800000,172300000,57568493.9078908,154500000,178800000,150500000,63109746.2754425,1.11e+08,2.4e+08,1.75e+08,49673171.7078789,5.5e+07,1.21e+08,1.85e+08,48261513.9403906,1.29e+08,1.39e+08,5.9e+07,11026133.4249789,1.82e+08,2.12e+08,1.54e+08,60138184.6963619,1.48e+08,1.54e+08,1.54e+08,74947739.4053836,1.5e+07,1.9e+07,2e+07,57937118.728923,-3.73e+08,3.41e+08,1.58e+08,127940946.087874,NA
"16","PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.","CA-AB",5700,"Retail-Home Furniture, Furnishings & Equipment Stores",-23998,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,87424.1398175687,-206175,-253400,-301574,-86843.1488627581,-160564,-78338,-147832,-99309.8246871806,-69356,-57411,-45009,38970.4815659134,-69677,-35321,-35765,21571.2429984162,-43195,-41263,-40017,169134.741710456,-40041,-49108,-84192,156840.965769167,-50693,-69253,-67714,9858.60499871296,-50114,-42725,-50073,-14402.3728702009,-55344,-48113,-47926,249657.246727976,-49143,-37995,-45115,-37699.5564724975,-34855,-47399,-41226,610485.244074911,-41532,-43655,NA
"17","THE BANK OF NEW YORK MELLON CORPORATION","US-NY",6022,"State Commercial Banks",3.09e+08,3.03e+08,332938773.866546,3.22e+08,1.76e+08,-2.458e+09,482209843.597281,5.59e+08,6.58e+08,6.22e+08,548502979.654968,583571128.182505,684272477.810972,6.51e+08,628306373.402822,6.19e+08,4.66e+08,7.25e+08,6.35e+08,-2.53e+08,356075792.466345,377780955.300343,5.39e+08,834427997.370857,422025968.679777,447929374.287931,835354781.12049,359985466.201448,143471750.646412,289446469.622438,872141186.765735,550274426.742776,469562532.898931,899881247.723652,860147054.920534,916428802.906294,858392290.083762,843988711.16326,6240506.6916517,264136558.743573,518050428.506791,586939940.745544,1051474814.57825,1022111489.71558,198980827.443839,511700004.790033,697836482.237595,9.8e+08,9.5e+08,9.37e+08,7.5e+08,9.27e+08,1.022e+09,9.47e+08,8.63e+08,NA
"18","VISA INC.","US-CA",7389,"Services-Business Services, NEC",4.22e+08,496850341.60312,5.74e+08,5.36e+08,7.29e+08,31713622.1916578,7.63e+08,7.13e+08,7.16e+08,7.74e+08,8.84e+08,8.81e+08,1.005e+09,8.8e+08,1.029e+09,1.292e+09,-1.839e+09,810768654.61632,1.293e+09,1.27e+09,1.225e+09,377780955.300343,1.407e+09,1.598e+09,1.36e+09,447929374.287931,1.569e+09,1.55e+09,1.697e+09,289446469.622438,1.941e+09,1.707e+09,4.12e+08,899881247.723652,2.07e+09,4.3e+08,2.059e+09,843988711.16326,2.522e+09,2.605e+09,2.329e+09,586939940.745544,2.977e+09,2.977e+09,3.101e+09,511700004.790033,3.272e+09,3.084e+09,2.373e+09,460205296.176246,3.126e+09,3.026e+09,2.575e+09,1525068766.42168,3.959e+09,NA
"19","AVNET, INC.","US-AZ",5065,"Wholesale-Electronic Parts & Equipment, NEC",125993814.282031,90339000,-1204969000,15796000,13445472.5443837,50900000,103900000,114500000,141100000,138200000,1.41e+08,1.51e+08,238800000,1.39e+08,1.47e+08,147600000,133400000,100305000,137481000,86196000,126100000,120624000,124864000,113851000,66163083.1442852,127946000,163706000,37524896.5281518,53910372.8115839,56288360.5635737,49673171.7078789,42865093.9699267,53837493.7867112,68843000,103218000,271771000,78176232.3553206,58303000,46724000,-320066000,91128484.3161808,83724000,36401000,88048000,91529821.0285368,41752000,3668000,-128661000,12947633.2860386,-18889000,19163000,107484000,135905699.318961,111318000,150821000,NA
"20","CONAGRA BRANDS, INC.","US-IL",2000,"Food and Kindred Products",141714810.670412,442400000,168100000,193200000,451775509.944989,165900000,239700000,229600000,90600000,146400000,202700000,216600000,250100000,93800000,180200000,280100000,-86200000,250100000,211600000,1.2e+08,192200000,144300000,248700000,234300000,-324200000,482300000,1e+07,-954100000,209200000,-1154100000,154900000,204600000,117600000,186200000,122100000,179700000,151300000,152500000,223500000,362800000,69600000,178200000,131600000,2.42e+08,126500000,173800000,260500000,204400000,201400000,3.29e+08,378900000,281400000,1381236717.35328,1525068766.42168,736074640.804247,NA
"21","FMC CORPORATION","US-PA",2800,"Chemicals & Allied Products",125993814.282031,8e+07,-2081061.76951388,69100000,69300000,2.8e+07,46351978.9499884,77400000,65700000,82900000,-53500000,9.4e+07,107200000,86800000,77900000,119100000,104900000,9e+07,102200000,130900000,1.18e+08,17900000,27100000,65600000,109100000,56300000,76500000,-46800000,742300000,-2400000,-204100000,48300000,65200000,79700000,15900000,-124200000,74700000,55200000,530100000,267200000,129700000,72800000,32400000,215700000,174500000,90400000,-3200000,206200000,184400000,111400000,49500000,184500000,204700000,159700000,190700000,NA
"22","NIKE, Inc.","US-OR",3021,"Rubber & Plastics Footwear",141714810.670412,510500000,3.91e+08,243800000,451775509.944989,5.13e+08,3.75e+08,4.97e+08,549184941.604014,5.59e+08,4.57e+08,5.23e+08,684272477.810972,6.45e+08,4.69e+08,5.6e+08,106412352.201329,5.67e+08,3.84e+08,8.66e+08,356075792.466345,7.79e+08,5.34e+08,6.82e+08,422025968.679777,9.62e+08,6.55e+08,7.91e+08,143471750.646412,1.179e+09,7.85e+08,9.5e+08,469562532.898931,1.249e+09,8.42e+08,1.141e+09,858392290.083762,9.5e+08,7.67e+08,-9.21e+08,518050428.506791,1.092e+09,8.47e+08,1.101e+09,198980827.443839,1.367e+09,1.115e+09,8.47e+08,69070965.8002356,1.518e+09,1.251e+09,1.449e+09,1381236717.35328,1.874e+09,1.337e+09,NA
"23","Cardinal Health, Inc.","US-OH",5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",141714810.670412,249100000,316500000,312900000,273200000,-38200000,234500000,222400000,223500000,2.95e+08,215400000,2.46e+08,2.03e+08,2.37e+08,2.62e+08,3.33e+08,2.36e+08,2.71e+08,3.03e+08,3.45e+08,-5.86e+08,3.39e+08,2.78e+08,3.15e+08,2.34e+08,2.66e+08,2.89e+08,3.65e+08,2.95e+08,3.83e+08,3.26e+08,3.86e+08,3.33e+08,3.09e+08,3.24e+08,3.81e+08,2.74e+08,1.15e+08,1.053e+09,2.55e+08,-1.166e+09,5.93e+08,2.8e+08,2.96e+08,1.94e+08,-4.922e+09,2.2e+08,3.5e+08,6.56e+08,-2.53e+08,6.29e+08,1.19e+08,1381236717.35328,2.71e+08,4.9e+07,NA
"24","CISCO SYSTEMS, INC.","US-CA",3576,"Computer Communications Equipment",141714810.670412,2.201e+09,1.504e+09,1.348e+09,1.081e+09,1.787e+09,1.853e+09,2.192e+09,1.935e+09,1.93e+09,1.521e+09,1.807e+09,1.232e+09,1.777e+09,2.182e+09,2.165e+09,106412352.201329,2.092e+09,3.143e+09,2.478e+09,356075792.466345,1.996e+09,1.429e+09,2.181e+09,422025968.679777,1.828e+09,2.397e+09,2.437e+09,143471750.646412,2.43e+09,3.147e+09,2.349e+09,2.813e+09,2.322e+09,2.348e+09,2.515e+09,2.424e+09,2.394e+09,-8.778e+09,2.691e+09,3.803e+09,3.549e+09,2.822e+09,3.044e+09,2.206e+09,2.926e+09,2.878e+09,2.774e+09,2.636e+09,2.174e+09,2.545e+09,2.863e+09,1381236717.35328,2.98e+09,2.973e+09,NA
"25","FedEx Corporation","US-TN",4513,"Air Courier Services",141714810.670412,3.84e+08,4.93e+08,9.7e+07,451775509.944989,1.81e+08,3.45e+08,2.39e+08,4.19e+08,3.8e+08,2.83e+08,2.31e+08,5.58e+08,4.64e+08,4.97e+08,5.21e+08,5.5e+08,4.59e+08,4.38e+08,3.61e+08,3.03e+08,5.48e+08,5.59e+08,4.37e+08,7.8e+08,6.53e+08,6.63e+08,6.28e+08,-8.95e+08,6.92e+08,6.91e+08,5.07e+08,-7e+07,7.15e+08,7e+08,5.62e+08,1.02e+09,5.96e+08,7.75e+08,2.074e+09,1.127e+09,8.35e+08,9.35e+08,7.39e+08,-1.969e+09,7.45e+08,5.6e+08,3.15e+08,-3.34e+08,1.245e+09,1.226e+09,8.92e+08,1381236717.35328,1.112e+09,1.044e+09,NA
"26","HP INC.","US-CA",3570,"Computer & office Equipment",141714810.670412,496850341.60312,1.856e+09,1.721e+09,1.671e+09,31713622.1916578,2.25e+09,2.2e+09,1.773e+09,551187854.315153,2.605e+09,2.304e+09,1.926e+09,641947904.098663,628306373.402822,735172281.316325,106412352.201329,810768654.61632,819863363.039362,469444285.200776,356075792.466345,377780955.300343,866734790.392945,834427997.370857,422025968.679777,447929374.287931,1.366e+09,1.011e+09,8.54e+08,289446469.622438,5.92e+08,6.29e+08,7.83e+08,899881247.723652,6.11e+08,5.59e+08,6.96e+08,843988711.16326,1.938e+09,1.058e+09,8.8e+08,586939940.745544,8.03e+08,7.82e+08,1.179e+09,511700004.790033,6.78e+08,7.64e+08,7.34e+08,460205296.176246,1.068e+09,1.228e+09,1381236717.35328,1525068766.42168,1.052e+09,NA
"27","TYSON FOODS, INC.","US-AR",2015,"Poultry Slaughtering and Processing",125993814.282031,70699501.5583617,-1.02e+08,-1.19e+08,1.31e+08,-4.57e+08,1.6e+08,1.59e+08,2.48e+08,2.13e+08,2.98e+08,1.59e+08,1.96e+08,9.7e+07,1.56e+08,1.66e+08,7.6e+07,1.85e+08,1.73e+08,9.5e+07,2.49e+08,2.61e+08,2.54e+08,2.13e+08,2.6e+08,1.37e+08,3.09e+08,3.1e+08,3.43e+08,2.58e+08,4.61e+08,4.32e+08,4.84e+08,3.91e+08,5.93e+08,3.4e+08,4.47e+08,3.94e+08,1.631e+09,3.15e+08,5.41e+08,5.37e+08,5.3e+08,3.94e+08,6.84e+08,3.72e+08,5.05e+08,3.76e+08,5.26e+08,6.54e+08,4.67e+08,4.76e+08,7.49e+08,118066066.620738,1.121e+09,NA
"28","DEERE & CO","US-IL",3523,"Farm Machinery & Equipment",141714810.670412,496850341.60312,2.04e+08,4.72e+08,4.2e+08,-2.23e+08,2.43e+08,5.48e+08,6.17e+08,4.57e+08,5.14e+08,9.04e+08,7.12e+08,6.7e+08,5.33e+08,1.056e+09,7.88e+08,6.88e+08,6.5e+08,1.084e+09,9.96e+08,8.07e+08,6.81e+08,9.81e+08,8.51e+08,6.49e+08,3.87e+08,6.9e+08,5.12e+08,3.51e+08,2.54e+08,4.96e+08,4.89e+08,2.85e+08,1.99e+08,8.08e+08,6.42e+08,5.1e+08,-5.35e+08,1.208e+09,9.1e+08,7.85e+08,4.98e+08,1.135e+09,8.99e+08,7.21e+08,5.17e+08,6.66e+08,8.11e+08,7.57e+08,1.224e+09,1.79e+09,1.667e+09,1525068766.42168,9.03e+08,NA
"29","Micron Technology, Inc.","US-ID",3674,"Semiconductors & Related Devices",580753999.95636,734589999.957485,-7.18e+08,-81017098.4973845,1448359.96986661,2140157.82379123,2.04e+08,3.65e+08,9.39e+08,3.42e+08,1.55e+08,7.2e+07,7.5e+07,-1.35e+08,-1.87e+08,-2.82e+08,-3.2e+08,-2.43e+08,-2.75e+08,-2.86e+08,4.3e+07,1.708e+09,3.58e+08,7.31e+08,8.06e+08,1.15e+09,1.003e+09,9.34e+08,4.91e+08,4.71e+08,2.06e+08,-9.7e+07,-2.15e+08,-1.7e+08,1.8e+08,8.94e+08,1.647e+09,2.368e+09,2.678e+09,3.309e+09,3.823e+09,4.325e+09,3.293e+09,1.619e+09,8.4e+08,5.61e+08,4.91e+08,4.05e+08,8.03e+08,9.88e+08,8.03e+08,6.03e+08,1.735e+09,10827927.0125188,2.306e+09,NA
"30","QUALCOMM INC/DE","US-CA",3663,"Radio & Tv Broadcasting & Communications Equipment",141714810.670412,496850341.60312,3.41e+08,-2.89e+08,451775509.944989,31713622.1916578,8.41e+08,7.74e+08,7.67e+08,8.65e+08,1.17e+09,9.99e+08,1.035e+09,1.056e+09,1.401e+09,2.23e+09,1.207e+09,1.271e+09,1.906e+09,1.866e+09,1.58e+09,1.501e+09,1.875e+09,1.959e+09,2.238e+09,1.894e+09,1.972e+09,1.053e+09,1.184e+09,1.061e+09,1.498e+09,1.164e+09,1.444e+09,1.599e+09,6.82e+08,7.49e+08,8.56e+08,1.57e+08,-5.983e+09,3.3e+08,1.202e+09,-5.13e+08,1.068e+09,6.63e+08,2.149e+09,511700004.790033,9.25e+08,4.68e+08,8.45e+08,460205296.176246,2.455e+09,1.762e+09,2.027e+09,1525068766.42168,3.399e+09,NA
"31","AUTOZONE INC","US-TN",5531,"Retail-Auto & Home Supply Stores",141714809.852635,496850294.059731,131371000,173689000,451775432.052519,236126000,143300000,202745000,549184876.091151,268933000,172076000,227373000,684272394.707373,301469000,166930000,248586000,106412349.377053,323733000,176247000,265583000,356075761.282654,371199000,218087000,285157000,422025930.303488,373671000,238310000,309071000,143471743.754842,401137000,258112000,327515000,469562482.990343,426768000,237145000,331700000,858392189.145418,433899000,289530000,366721000,518050384.32542,400282000,294638000,405949000,198980819.86081,565228000,350338000,342896000,69070960.1293003,740457000,442433000,596164000,1381236560.17328,1525068574.9283,555235000,NA
"32","COSTCO WHOLESALE CORP /NEW","US-WA",5331,"Retail-Variety Stores",141714810.670412,496850341.60312,2.63e+08,2.1e+08,451775509.944989,3.74e+08,2.66e+08,3.06e+08,549184941.604014,4.32e+08,3.12e+08,3.24e+08,684272477.810972,4.78e+08,3.2e+08,3.86e+08,106412352.201329,6.09e+08,4.16e+08,5.47e+08,356075792.466345,6.17e+08,4.25e+08,4.73e+08,422025968.679777,6.97e+08,4.96e+08,5.16e+08,143471750.646412,7.67e+08,4.8e+08,5.45e+08,469562532.898931,7.79e+08,5.45e+08,7e+08,858392290.083762,9.19e+08,6.4e+08,7.01e+08,518050428.506791,1.043e+09,7.67e+08,8.89e+08,198980827.443839,1.097e+09,8.44e+08,8.38e+08,69070965.8002356,1.389e+09,1.166e+09,1.22e+09,1381236717.35328,1525068766.42168,1.324e+09,NA
"33","Accenture plc","IE-",7389,"Services-Business Services, NEC",141714810.670412,496850341.60312,479866000,411436000,443969000,254692000,444817000,399760000,490597000,445482000,534714000,503017000,628013000,611933000,642086000,643923000,689219000,578282000,698817000,1101802000,810258000,671001000,751846000,671300000,817336000,701016000,831530000,690726000,793697000,737628000,818899000,1326520000,897247000,1069226000,1004476000,838752000,669468000,932453000,1123660000,863703000,1043020000,1029524000,1274720000,1124449000,1249516000,1130427000,1356968000,1234740000,1228202000,1287929000,1500276000,1440859000,1549426000,1416248000,1791024000,NA
"34","Skyworks Solutions, Inc.","US-CA",3674,"Semiconductors & Related Devices",125993814.282031,70699501.5583617,-2081061.76951388,-5678000,18740000,20034726.6669733,28010000,27744000,34736000,46804000,60868000,49960000,51548000,64209000,57100000,3.4e+07,49300000,61600000,66500000,61700000,65700000,84200000,94500000,76900000,111400000,174900000,195200000,166500000,207400000,229200000,355300000,208100000,1.85e+08,246800000,257800000,224900000,246200000,281300000,70400000,2.76e+08,286500000,285500000,284900000,2.14e+08,144100000,210600000,257100000,181100000,129700000,246900000,509300000,3.25e+08,337800000,118066066.620738,399900000,NA
