"","cik","entityName","sic","n","mean_y","sd_y","se_y","y_lo","y_hi","sic_num","x","sic_division"
"21","0000032621","EMERSON RADIO CORP",3651,44,398659.090909092,1790089.07071079,269866.081311985,-130278.428462399,927596.610280582,3651,3651.7189616507,"Manufacturing"
"22","0000033002","ENNIS, INC.",2761,53,6665509.43396226,11531956.1347231,1584035.99809711,3560798.87769192,9770219.99023261,2761,2761.23624447279,"Manufacturing"
"23","0000034563","FARMER BROTHERS CO",2090,54,-3357574.07407407,15431539.3277117,2099966.51658805,-7473508.44658665,758360.298438506,2090,2090.45797522566,"Manufacturing"
"24","0000036840","FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY, INC.",6798,54,2648222.22222222,7645865.43262674,1040470.49732887,608900.047457636,4687544.39698681,6798,6797.46852598611,"Finance/Insurance/Real Estate"
"25","0000037472","FLEXSTEEL INDUSTRIES, INC.",2510,58,2475293.10344828,6343682.08979949,832966.266407681,842679.22128922,4107906.98560733,2510,2510.26963698828,"Manufacturing"
"26","0000037785","FMC CORPORATION",2800,64,120406250,180577521.386685,22572190.1733356,76164757.2602621,164647742.739738,2800,2799.08389713728,"Manufacturing"
"27","0000038264","Forward Industries, Inc.",3089,34,-387992.117647059,844434.125962605,144819.257848638,-671837.863030389,-104146.372263729,3089,3087.96737148452,"Manufacturing"
"28","0000038777","FRANKLIN RESOURCES, INC.",6282,50,358736420,196332514.842372,27765610.5224899,304315823.37592,413157016.62408,6282,6279.58879606671,"Finance/Insurance/Real Estate"
"29","0000039020","FREQUENCY ELECTRONICS, INC.",3825,45,240822.222222222,3118343.47260389,464855.198795671,-670293.967417292,1151938.41186174,3825,3825.49475233886,"Manufacturing"
"30","0000040570","GEE GROUP INC.",7361,44,-696431.818181818,4676728.24614242,705043.310859604,-2078316.70746664,685453.071103006,7361,7361.52041832007,"Services"
"31","0000046619","HEICO CORPORATION",3724,58,54130258.6206897,35990636.475539,4725802.09195404,44867686.5204597,63392830.7209196,3724,3726.09695033716,"Manufacturing"
"32","0000047217","HP INC.",3570,36,1169666666.66667,592382067.829297,98730344.6382162,976155191.175763,1363178142.15757,3570,3570.73762591898,"Manufacturing"
"33","0000048465","HORMEL FOODS CORPORATION",2011,57,183805280.701754,54978199.9805229,7282040.48073954,169532481.359505,198078080.044004,2011,2012.09031239194,"Manufacturing"
"34","0000050292","IEH Corporation",3678,45,235989.466666667,897044.608792283,133723.514940617,-26108.6226169421,498087.555950275,3678,3678.84411764136,"Manufacturing"
"35","0000054187","MAYS J W INC",6512,45,168286.022222222,447809.232575937,66755.4589994539,37445.3225832927,299126.721861152,6512,6511.94243323613,"Finance/Insurance/Real Estate"
"36","0000055242","KENNAMETAL INC.",3541,58,19779258.6206897,67674555.4567244,8886104.47238996,2362493.85480534,37196023.386574,3541,3541.52828775174,"Manufacturing"
"37","0000056679","KORN FERRY",7361,59,26395559.3220339,26306485.0790874,3424812.64417968,19682926.5394417,33108192.1046261,7361,7359.88466229069,"Services"
"38","0000056701","KOSS CORPORATION",3651,35,40631.2285714285,1918998.29887309,324369.915421876,-595133.805655449,676396.262798306,3651,3651.89030749039,"Manufacturing"
"39","0000057131","LA-Z-BOY INCORPORATED",2510,45,21169822.2222222,10916218.6370241,1627293.79530907,17980326.3834164,24359318.061028,2510,2509.9256058001,"Manufacturing"
"40","0000057515","Lancaster Colony Corporation",2030,57,29983017.5438597,11009302.6532293,1458217.75929242,27124910.7356465,32841124.3520728,2030,2030.40573880431,"Manufacturing"
"41","0000063296","MATTHEWS INTERNATIONAL CORP",3360,57,8658403.50877193,19531421.5184329,2586999.97806408,3587883.55176634,13728923.4657775,3360,3359.69219079299,"Manufacturing"
"42","0000065270","METHODE ELECTRONICS, INC.",3678,56,16182464.2857143,17718219.3143507,2367696.64921503,11541778.8532528,20823149.7181757,3678,3678.10707754631,"Manufacturing"
"43","0000065312","EVI Industries, Inc.",7200,42,801225.857142857,800425.875572211,123508.393997133,559149.404908477,1043302.30937724,7200,7199.83069048174,"Services"
"44","0000066004","MIDDLESEX WATER COMPANY",4941,51,7205784.31372549,3159550.67890183,442425.589014341,6338630.15925738,8072938.4681936,4941,4941.21577449385,"Transportation/Public Utilities"
"45","0000066740","3M COMPANY",3841,64,1010078125,1164964803.67417,145620600.459272,724661748.099828,1295494501.90017,3841,3841.66446859728,"Manufacturing"
"46","0000066756","ALLETE, Inc.",4931,34,36526470.5882353,18521295.0136851,3176375.889854,30300773.8441215,42752167.3323491,4931,4932.78722889687,"Transportation/Public Utilities"
"47","0000067887","MOOG Inc.",3590,58,33938844.8275862,19362396.663493,2542407.23749826,28955726.6420896,38921963.0130828,3590,3590.5474107626,"Manufacturing"
"48","0000069422","THE INTERGROUP CORPORATION",6513,43,-292372.093023256,2352210.78403616,358708.781686449,-995441.305128696,410697.119082184,6513,6513.27314517348,"Finance/Insurance/Real Estate"
"49","0000069891","National Beverage Corp.",2086,55,26938436.3636364,14530765.8254039,1959328.06419458,23098153.357815,30778719.3694577,2086,2086.11084769746,"Manufacturing"
"50","0000070502","NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORPORATION",6159,44,57808250,149837375.024364,22588834.2057993,13534134.9566334,102082365.043367,6159,6158.53965403843,"Finance/Insurance/Real Estate"
"51","0000072331","NORDSON CORPORATION",3569,58,75272706.8965517,30846071.1553287,4050287.57114339,67334143.2571107,83211270.5359928,3569,3568.70273791984,"Manufacturing"
"52","0000072573","MOVADO GROUP, INC.",3873,55,7403145.45454546,24395584.0428809,3289499.88128416,955725.68722851,13850565.2218624,3873,3873.72627212699,"Manufacturing"
"53","0000073290","BIOMERICA, INC.",2835,44,-583714.022727273,718287.560606879,108285.924096031,-795954.433955493,-371473.611499052,2835,2834.36348340035,"Manufacturing"
"54","0000073309","NUCOR CORPORATION",3312,38,617694526.31579,752928360.830896,122141108.703643,378297953.256648,857091099.374931,3312,3311.79105404088,"Manufacturing"
"55","0000074260","OLD REPUBLIC INTERNATIONAL CORPORATION",6351,62,125420967.741936,187079699.100254,23759145.5448897,78853042.4739517,171988893.009919,6351,6349.95875031704,"Finance/Insurance/Real Estate"
"56","0000078749","AGILYSYS, INC.",7373,54,300296.296296295,12406866.7302222,1688360.7108754,-3008890.69701949,3609483.28961208,7373,7372.83056048167,"Services"
"57","0000078814","PITNEY BOWES INC.",3579,41,34728951.2195122,84150718.1912166,13142134.2255503,8970368.13743366,60487534.3015907,3579,3580.84123273574,"Manufacturing"
"58","0000080172","NATIONAL PRESTO INDUSTRIES INC",3480,58,9866706.89655172,4182892.27566001,549240.663753403,8790195.19559505,10943218.5975084,3480,3479.16797361336,"Manufacturing"
"59","0000080420","Powell Industries, Inc.",3613,58,6842982.75862069,11506317.508818,1510853.50743427,3881709.88404953,9804255.63319185,3613,3612.51149811281,"Manufacturing"
"60","0000080424","PROCTER & GAMBLE CO",2840,44,2954454545.45455,1672747794.4784,252176218.326335,2460189157.53493,3448719933.37416,2840,2839.45222124876,"Manufacturing"
"61","0000089439","MUELLER INDUSTRIES, INC.",3350,45,61325755.5555555,57562731.8154075,8580945.42065607,44507102.5310696,78144408.5800414,3350,3349.63496810105,"Manufacturing"
"62","0000090168","SIFCO Industries, Inc.",3724,45,-303622.222222222,2345653.01325364,349669.305950823,-988974.061885834,381729.617441391,3724,3724.22010043776,"Manufacturing"
"63","0000091767","SONOCO PRODUCTS COMPANY",2650,50,62112980,29135654.4428973,4120403.76617612,54036988.6182948,70188971.3817052,2650,2649.88899570132,"Manufacturing"
"64","0000095029","STURM, RUGER & COMPANY, INC.",3480,57,16929070.1754386,10141661.002412,1343295.81520794,14296210.377631,19561929.9732462,3480,3480.26236380132,"Manufacturing"
"65","0000096793","SUNLINK HEALTH SYSTEMS, INC.",8062,51,-546647.058823529,2617188.31438267,366479.667278088,-1264947.20668858,171653.089041524,8062,8061.05455690216,"Services"
"66","0000096885","TEL-INSTRUMENT ELECTRONICS CORP.",3670,53,-154286.113207547,965780.819293357,132660.197988962,-414300.101265914,105727.874850819,3670,3669.72656817451,"Manufacturing"
"67","0000098362","TIMKEN CO",3562,62,69185483.8709677,51031574.4329556,6481016.43400504,56482691.6603179,81888276.0816176,3562,3562.82880560005,"Manufacturing"
"68","0000099780","TRINITY INDUSTRIES INC",3743,62,61467741.9354839,99736015.1241784,12666486.5872636,36641428.2244472,86294055.6465205,3743,3741.93709091697,"Manufacturing"
"69","0000100378","TWIN DISC INC",3560,43,199465.116279069,5488976.76451387,837061.109177252,-1441174.65770834,1840104.89026648,3560,3559.78122832538,"Manufacturing"
"70","0000100493","TYSON FOODS, INC.",2015,61,328377049.180328,313867124.960783,40186567.393487,249611377.089093,407142721.271562,2015,2015.75544856014,"Manufacturing"
"71","0000100726","UNIFI, INC.",2200,57,1515210.52631579,10375449.7953046,1374261.89729849,-1178342.79238925,4208763.84502083,2200,2200.51843888255,"Manufacturing"
"72","0000102037","UNIVERSAL CORPORATION",5150,58,28067551.7241379,18350275.979733,2409509.28089019,23344913.5335932,32790189.9146827,5150,5149.73231389268,"Wholesale Trade"
"73","0000103595","VILLAGE SUPER MARKET, INC.",5411,44,6528818.18181818,4448902.20727477,670697.243205198,5214251.585136,7843384.77850037,5411,5412.56659641023,"Retail Trade"
"74","0000104894","ELME COMMUNITIES",6798,40,17249100,57268273.4172672,9054909.08319193,-498521.803056188,34996721.8030562,6798,6797.86240660662,"Finance/Insurance/Real Estate"
"75","0000105132","WD-40 COMPANY",2890,43,13818395.3488372,3831376.48483535,584279.436343351,12673207.6536042,14963583.0440702,2890,2890.37117254274,"Manufacturing"
"76","0000107140","JOHN WILEY & SONS, INC.",2731,57,25247105.2631579,43557083.0555738,5769276.5886477,13939323.1494084,36554887.3769074,2731,2731.98600740447,"Manufacturing"
"77","0000108312","WOODWARD, INC.",3620,58,47715620.6896552,20412379.7883914,2680276.77619157,42462278.2083197,52968963.1709906,3620,3619.50401959058,"Manufacturing"
"78","0000108385","WORLD ACCEPTANCE CORPORATION",6141,57,18381105.2631579,12770065.8512736,1691436.54218633,15065889.6404727,21696320.8858431,6141,6139.87694923684,"Finance/Insurance/Real Estate"
"79","0000109177","Spectrum Brands Holdings, Inc.",3690,51,58867960.7843138,302877740.238134,42411366.7550868,-24258318.0556563,141994239.624284,3690,3689.06714309057,"Manufacturing"
"80","0000109380","ZIONS BANCORPORATION, NATIONAL ASSOCIATION",6021,45,124667222.222222,114647755.211321,17090678.2746846,91169492.8038403,158164951.640604,6021,6021.22807226958,"Finance/Insurance/Real Estate"
"81","0000109563","APPLIED INDUSTRIAL TECHNOLOGIES, INC.",5080,47,36378914.893617,33839718.5572823,4936030.25964913,26704295.5847047,46053534.2025293,5080,5079.59769388167,"Wholesale Trade"
"82","0000110621","RPM INTERNATIONAL INC/DE/",2851,56,74228803.5714286,58267524.0953061,7786325.42643681,58967605.7356125,89490001.4072447,2851,2851.60839185496,"Manufacturing"
"83","0000205402","GRAYBAR ELECTRIC COMPANY, INC.",5063,58,45393931.0344828,37712029.1771979,4951832.02715963,35688340.2612499,55099521.8077157,5063,5062.66500221458,"Wholesale Trade"
"84","0000216877","PISMO COAST VILLAGE, INC.",7000,47,251658.510638298,266207.177149014,38830.3076315195,175551.10768052,327765.913596076,7000,6999.13066860788,"Services"
"85","0000276720","PURE CYCLE CORPORATION",4941,48,651547.0625,2878112.83252686,415419.804654374,-162675.754622573,1465769.87962257,4941,4940.62970333172,"Transportation/Public Utilities"
"86","0000278166","CAVCO INDUSTRIES INC.",2451,51,17455843.1372549,19669089.4434618,2754223.42186452,12057565.2304005,22854121.0441094,2451,2449.03017423352,"Manufacturing"
"87","0000310764","STRYKER CORP",3841,66,439015151.515151,303517277.796085,37360394.2619084,365788778.761811,512241524.268492,3841,3840.78320593905,"Manufacturing"
"88","0000313143","HAEMONETICS CORPORATION",3841,36,10293722.2222222,21958222.1601595,3659703.69335992,3120702.98323678,17466741.4612077,3841,3841.75090178825,"Manufacturing"
"89","0000315189","DEERE & CO",3523,61,875147540.983607,653763408.685068,83705827.0623308,711084119.941438,1039210962.02578,3523,3522.17005691332,"Manufacturing"
"90","0000316253","ENZO BIOCHEM, INC.",2836,48,-2054270.83333333,8299727.59804106,1197962.49073239,-4402277.31516882,293735.648502157,2836,2836.17538759049,"Manufacturing"
"91","0000318299","SPARTA COMMERCIAL SERVICES, INC.",7389,45,-702287.755555556,1041844.75621607,155309.046460055,-1006693.48661726,-397882.024493848,7389,7387.59328898041,"Services"
"92","0000320187","NIKE, Inc.",3021,50,891046000,465130001.230729,65779315.6007111,762118541.422606,1019973458.57739,3021,3020.67156043388,"Manufacturing"
"93","0000320193","Apple Inc.",3571,62,13382774193.5484,8502776837.49112,1079853738.21565,11266260866.6457,15499287520.4511,3571,3571.04667135144,"Manufacturing"
"94","0000355019","FONAR CORPORATION",3845,44,2731818.18181818,1145265.46679326,172655.265395657,2393413.86164269,3070222.50199367,3845,3845.03567807656,"Manufacturing"
"95","0000356309","NEW JERSEY RESOURCES CORPORATION",4924,58,41662500,57650038.8640486,7569820.95746259,26825650.9233733,56499349.0766267,4924,4922.91046055575,"Transportation/Public Utilities"
"96","0000703351","BRINKER INTERNATIONAL, INC.",5812,58,35140189.6551724,22787960.9346666,2992205.86247778,29275466.164716,41004913.1456289,5812,5811.02031100282,"Retail Trade"
"97","0000704172","PHI GROUP, INC.",8741,40,-525483.75,671866.41982373,106231.408501295,-733697.310662537,-317270.189337463,8741,8739.60048630709,"Services"
"98","0000706863","UNION BANKSHARES, INC.",6022,58,2259379.31034483,791948.204659038,103987.89376344,2055563.03856849,2463195.58212117,6022,6020.71327923308,"Finance/Insurance/Real Estate"
"99","0000707549","LAM RESEARCH CORPORATION",3559,47,495333744.680851,434866474.251653,63431794.5694368,371007427.324755,619660062.036947,3559,3558.87183087412,"Manufacturing"
"100","0000707605","AMERISERV FINANCIAL INC /PA/",6021,58,1131844.82758621,1121275.695815,147230.711869771,843272.632321456,1420417.02285096,6021,6022.35879879057,"Finance/Insurance/Real Estate"
"101","0000711377","Neogen Corporation",2835,40,-4083475,73997425.7119757,11700020.3119475,-27015514.8114171,18848564.8114171,2835,2834.95219526826,"Manufacturing"
"102","0000711404","The Cooper Companies, Inc.",3851,42,139229785.714286,323438928.895699,49907710.2367572,41410673.6502417,237048897.77833,3851,3850.34692099768,"Manufacturing"
"103","0000712515","ELECTRONIC ARTS INC.",7372,62,167403225.806451,347421908.181545,44122626.4617047,80922877.9415103,253883573.671393,7372,7372.80244605298,"Services"
"104","0000712770","ONE LIBERTY PROPERTIES, INC.",6798,54,6393148.14814815,4501774.68740147,612613.940061714,5192424.82562719,7593871.47066911,6798,6797.8714299329,"Finance/Insurance/Real Estate"
"105","0000713425","LOGILITY SUPPLY CHAIN SOLUTIONS, INC.",7372,36,2354500,1877743.13624475,312957.189374126,1741103.90882671,2967896.09117329,7372,7373.22339623927,"Services"
"106","0000715446","ANIXA BIOSCIENCES, INC.",2834,43,-2072660.09302326,1424069.31374054,217168.534399967,-2498310.42044719,-1647009.76559932,2834,2833.63508753682,"Manufacturing"
"107","0000716314","GRAHAM CORP",3560,54,1042462.96296296,2568609.53291166,349543.483560122,357357.735185124,1727568.1907408,3560,3560.05085630953,"Manufacturing"
"108","0000717423","MURPHY OIL CORPORATION",1311,66,94328196.9696969,330729164.204151,40709945.9322375,14536702.9425115,174119690.996882,1311,1310.39469338665,"Mining"
"109","0000720005","RAYMOND JAMES FINANCIAL, INC.",6211,47,208037042.553191,150679223.236124,21978823.6162466,164958548.265348,251115536.841035,6211,6209.00620459151,"Finance/Insurance/Real Estate"
"110","0000720154","INOTIV, INC.",8731,40,-7740150,20434723.5305936,3231013.48562566,-14072936.4318263,-1407363.56817371,8731,8732.1204103964,"Services"
"111","0000720762","NON INVASIVE MONITORING SYSTEMS INC /FL/",3845,44,-129636.363636364,174800.629410432,26352.1864032894,-181286.648986811,-77986.0782859164,3845,3844.00798706562,"Manufacturing"
"112","0000720875","Dynatronics Corporation",3841,46,-360820.043478261,721406.406898634,106365.57181581,-569296.564237249,-152343.522719273,3841,3842.42992651068,"Manufacturing"
"113","0000721371","Cardinal Health, Inc.",5122,62,135779032.258065,738356046.579399,93771311.6869422,-48012738.6483422,319570803.164471,5122,5121.79472598567,"Wholesale Trade"
"114","0000723125","Micron Technology, Inc.",3674,58,742120689.655173,1266642323.09368,166318285.154583,416136850.75219,1068104528.55816,3674,3673.93386089446,"Manufacturing"
"115","0000723254","Cintas Corporation",2320,37,219832837.837838,121175304.122332,19921097.2841301,180787487.160943,258878188.514733,2320,2321.09640948258,"Manufacturing"
"116","0000725363","CEL-SCI CORPORATION",2836,48,-6058922.66666667,3976353.14846606,573937.140164974,-7183839.46139002,-4934005.87194332,2836,2834.90339412419,"Manufacturing"
"117","0000729986","UNITED BANKSHARES INC/WV",6022,62,51510677.4193549,31143463.8774764,3955223.86766535,43758438.6387308,59262916.199979,6022,6021.37531342037,"Finance/Insurance/Real Estate"
"118","0000730263","THOR Industries, Inc.",3716,42,67464690.4761905,77008769.5153462,11882711.1126765,44174576.6953445,90754804.2570365,3716,3715.70352503624,"Manufacturing"
"119","0000730464","Adtalem Global Education Inc.",8200,43,22298232.5581395,72823424.2534107,11105468.0853699,531515.110814601,44064950.0054645,8200,8200.4850511471,"Services"
"120","0000731653","UNITED BANCORP INC /OH/",6022,58,1310655.17241379,685956.587847491,90070.512646881,1134116.96762591,1487193.37720168,6022,6023.08780214,"Finance/Insurance/Real Estate"
"121","0000732026","TRIO-TECH INTERNATIONAL",3559,44,107708.795454545,459751.826678343,69310.1957169351,-28139.1881506474,243556.779059738,3559,3559.62432215373,"Manufacturing"
"122","0000733590","Transcontinental Realty Investors, Inc.",6798,37,12788000,63354131.6726857,10415355.0885998,-7626095.9736556,33202095.9736556,6798,6799.43733289528,"Finance/Insurance/Real Estate"
"123","0000746514","New England Realty Associates Limited Partnership",6513,48,1242106.25,1365642.65372132,197113.538435709,855763.71466601,1628448.78533399,6513,6515.03199570256,"Finance/Insurance/Real Estate"
"124","0000746598","BRADY CORP",3990,50,24559440,20462664.160298,2893857.71777792,18887478.8731553,30231401.1268447,3990,3990.56763985387,"Manufacturing"
"125","0000750558","QNB Corp.",6022,58,2648120.68965517,943189.960171299,123846.909179197,2405380.74766395,2890860.6316464,6022,6022.91159595728,"Finance/Insurance/Real Estate"
"126","0000763532","LSI INDUSTRIES INC.",3640,45,1271155.55555556,4604683.6775947,686425.714532365,-74238.8449278797,2616549.95603899,3640,3641.09166982783,"Manufacturing"
"127","0000765207","FIRST BANCORP, INC",6021,59,5486457.62711864,2156596.95467135,280765.008953224,4936158.20957032,6036757.04466696,6021,6021.47686940988,"Finance/Insurance/Real Estate"
"128","0000768408","Cyanotech Corp",2833,40,-319850,899508.143376145,142224.725346896,-598610.461679916,-41089.5383200839,2833,2832.45468846872,"Manufacturing"
"129","0000771497","ABM INDUSTRIES INCORPORATED",7340,38,27513157.8947368,24666797.5884932,4001482.95955023,19670251.2940184,35356064.4954553,7340,7340.35096568154,"Services"
"130","0000771856","CHAMPIONS ONCOLOGY, INC.",2836,45,-901129.666666667,1524687.91210152,227287.054395415,-1346612.29328168,-455647.040051653,2836,2836.82226304038,"Manufacturing"
"131","0000772406","CIRRUS LOGIC, INC.",3674,56,45630767.8571429,38172450.7322855,5101008.29477573,35632791.5993824,55628744.1149033,3674,3674.7493165522,"Manufacturing"
"132","0000775057","ALTEX INDUSTRIES INC",1311,47,-22361.7021276596,119665.371390738,17454.9883805024,-56573.4793534443,11850.0750981251,1311,1311.96651796978,"Mining"
"133","0000779152","JACK HENRY & ASSOCIATES, INC.",7373,40,69282425,24839341.254207,3927444.69707388,61584633.3937352,76980216.6062648,7373,7374.25977388144,"Services"
"134","0000779544","ARK RESTAURANTS CORP.",5812,44,1092863.63636364,1798198.60236033,271088.63920776,561529.903516427,1624197.36921085,5812,5812.6396224325,"Retail Trade"
"135","0000783412","DAILY JOURNAL CORPORATION",2711,51,2570113.31372549,15724004.0580794,2201800.97237041,-1745416.59212052,6885643.2195715,2711,2711.31254456819,"Manufacturing"
"136","0000785786","PLEXUS CORP.",3672,58,23130465.5172414,19232937.3532914,2525408.39727521,18180665.058582,28080265.9759008,3672,3671.97423932463,"Manufacturing"
"137","0000785956","J&J SNACK FOODS CORP.",2052,35,18085457.1428571,9253971.6285777,1564206.69900588,15019612.0128056,21151302.2729087,2052,2053.52452216199,"Manufacturing"
"138","0000788329","Johnson Outdoors Inc.",3949,56,7226267.85714286,9252108.64121073,1236365.02287933,4802992.41229938,9649543.30198634,3949,3949.84063763206,"Manufacturing"
"139","0000788920","PRO-DEX, INC.",3841,46,736065.217391304,908143.023541848,133898.383859433,473624.385026816,998506.049755793,3841,3842.45310652788,"Manufacturing"
"140","0000789019","MICROSOFT CORPORATION",7372,43,9886093023.25581,7195767025.57683,1097344183.84697,7735298422.91576,12036887623.5959,7372,7371.3282888312,"Services"
"141","0000792966","FARMERS & MERCHANTS BANCORP, INC.",6035,58,4024103.44827586,1968505.92278969,258477.49078475,3517487.56633775,4530719.33021397,6035,6034.46463853181,"Finance/Insurance/Real Estate"
"142","0000794619","American Woodmark Corp",2430,54,12350333.3333333,13823518.5906633,1881142.61094458,8663293.81588195,16037372.8507847,2430,2429.44274520668,"Manufacturing"
"143","0000800240","The ODP Corporation",5940,48,6645833.33333334,108688015.269028,15687763.7183149,-24102183.5545639,37393850.2212306,5940,5940.13844593484,"Retail Trade"
"144","0000804328","QUALCOMM INC/DE",3663,57,1324754385.96491,1299104324.42485,172070571.290384,987496066.23576,1662012705.69406,3663,3664.06079652774,"Manufacturing"
"145","0000807863","MITEK SYSTEMS, INC.",3577,55,103601.545454545,2849777.12565788,384263.869233887,-649555.638243873,856758.729152964,3577,3576.02829094025,"Manufacturing"
"146","0000807882","JACK IN THE BOX INC.",5812,43,24432441.8604651,25854006.8850922,3942699.08734588,16704751.6492672,32160132.071663,5812,5811.1344733266,"Retail Trade"
"147","0000810136","PHOTRONICS, INC.",3674,53,11628716.9811321,10745053.9111247,1475946.66489115,8735861.51794542,14521572.4443187,3674,3674.36666769959,"Manufacturing"
"148","0000812011","Vail Resorts, Inc.",7990,59,48511355.9322034,149234072.145505,19428621.333857,10431258.1178437,86591453.746563,7990,7989.88726030362,"Services"
"149","0000817720","SYNAPTICS INCORPORATED",3674,35,10266200,31991696.6376112,5407583.70585221,-332664.06347033,20865064.0634703,3674,3674.55878545247,"Manufacturing"
"150","0000820771","GOLIATH FILM AND MEDIA HOLDINGS",7822,44,-16643.5454545454,27949.1796904664,4213.49737415902,-24902.0003078971,-8385.09060119376,7822,7822.84089693426,"Services"
"151","0000823277","CHS Inc.",5150,45,239796222.222222,174802893.015363,26058076.763065,188722391.766615,290870052.67783,5150,5150.22496834532,"Wholesale Trade"
"152","0000825324","Good Times Restaurants Inc.",5812,38,157947.368421053,3802646.16932038,616870.665644602,-1051119.13624237,1367013.87308447,5812,5811.57793368341,"Retail Trade"
"153","0000827054","MICROCHIP TECHNOLOGY INCORPORATED",3674,35,167630142.857143,202972097.468961,34308546.3534128,100385392.004454,234874893.709832,3674,3673.70514705425,"Manufacturing"
"154","0000828530","ADMIRAL FINANCIAL CORP.",6035,44,0,0,0,0,0,6035,6037.06882994758,"Finance/Insurance/Real Estate"
"155","0000829224","Starbucks Corporation",5810,58,582272413.793104,469548902.145828,61654791.3939676,461429022.660927,703115804.92528,5810,5810.17517708475,"Retail Trade"
"156","0000833444","JOHNSON CONTROLS INTERNATIONAL PLC",3585,52,338903846.153846,742025877.134927,102900474.912736,137218915.324885,540588776.982808,3585,3585.29561940175,"Manufacturing"
"157","0000834071","TOYOTA MOTOR CREDIT CORPORATION",6141,56,362303571.428571,420166154.131817,56147064.0814183,252255325.828991,472351817.028151,6141,6140.50848122108,"Finance/Insurance/Real Estate"
"158","0000836157","Lindsay Corporation",3523,43,10359255.8139535,7310054.75874554,1114772.89976175,8174300.93042046,12544210.6974865,3523,3522.96658291343,"Manufacturing"
"159","0000849146","LIFEVANTAGE CORP",2834,56,762571.428571429,7013490.78136271,937217.128184169,-1074374.14266954,2599516.9998124,2834,2834.56514473563,"Manufacturing"
