"cik","entityName","sic","n","mean_y","sd_y","se_y","y_lo","y_hi","sic_num","x","sic_division"
34563,"FARMER BROTHERS CO",2090,67,13097.0046007553,24000785.7689252,2932162.66150431,-5733941.8119477,5760135.82114921,2090,2090.45797522566,"Manufacturing"
36840,"FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY, INC.",6798,67,4892156.854306,17434348.8439288,2129944.71097677,717465.220791528,9066848.48782048,6798,6797.46852598611,"Finance/Insurance/Real Estate"
37472,"FLEXSTEEL INDUSTRIES, INC.",2510,67,5794149.5162049,18543837.0306116,2265490.2662637,1353788.59432805,10234510.4380818,2510,2510.26963698828,"Manufacturing"
37785,"FMC CORPORATION",2800,67,119400776.428756,177316771.140295,21662691.405264,76941901.2744386,161859651.583074,2800,2799.08389713728,"Manufacturing"
38264,"Forward Industries, Inc.",3089,67,2494625.13209436,16413601.0302805,2005240.51775544,-1435646.28270631,6424896.54689503,3089,3087.96737148452,"Manufacturing"
38777,"FRANKLIN RESOURCES, INC.",6282,67,522510735.866962,425059839.100684,51929324.361111,420729260.119184,624292211.614739,6282,6279.58879606671,"Finance/Insurance/Real Estate"
39020,"FREQUENCY ELECTRONICS, INC.",3825,67,2873110.78514203,16535569.3662738,2020141.32159281,-1086366.20517988,6832587.77546394,3825,3825.49475233886,"Manufacturing"
40570,"GEE GROUP INC.",7361,67,2268601.20509339,16870803.0741219,2061096.63741012,-1771148.20423044,6308350.61441722,7361,7361.52041832007,"Services"
46619,"HEICO CORPORATION",3724,67,32977254.306482,102565153.045176,12530327.7578485,8417811.90109889,57536696.7118651,3724,3726.09695033716,"Manufacturing"
47217,"HP INC.",3570,67,1068823238.48852,562188848.755855,68682299.2758137,934205931.907923,1203440545.06911,3570,3570.73762591898,"Manufacturing"
48465,"HORMEL FOODS CORPORATION",2011,67,173711249.95505,63990180.8064385,7817644.8333821,158388666.081621,189033833.828479,2011,2012.09031239194,"Manufacturing"
50292,"IEH Corporation",3678,67,2869864.90453104,16355309.6966122,1998119.0979104,-1046448.52737334,6786178.33643542,3678,3678.84411764136,"Manufacturing"
54187,"MAYS J W INC",6512,67,2845604.56231224,16346521.9186271,1997045.49995683,-1068604.61760316,6759813.74222763,6512,6511.94243323613,"Finance/Insurance/Real Estate"
55242,"KENNAMETAL INC.",3541,67,3349954.89553461,110551879.965987,13506061.7479896,-23121926.130525,29821835.9215943,3541,3541.52828775174,"Manufacturing"
56679,"KORN FERRY",7361,67,9267526.21741601,95252930.7033724,11636997.6173406,-13540989.1125717,32076041.5474037,7361,7359.88466229069,"Services"
56701,"KOSS CORPORATION",3651,67,2743861.94398446,16417501.4088788,2005717.02484158,-1187343.42470504,6675067.31267395,3651,3651.89030749039,"Manufacturing"
57131,"LA-Z-BOY INCORPORATED",2510,67,4282822.66138115,91666360.830388,11198828.3688131,-17666880.9414925,26232526.2642548,2510,2509.9256058001,"Manufacturing"
57515,"Lancaster Colony Corporation",2030,67,12588493.2266307,93283615.9239115,11396407.5249713,-9748465.52231298,34925451.9755743,2030,2030.40573880431,"Manufacturing"
63296,"MATTHEWS INTERNATIONAL CORP",3360,67,-143300.803017174,91356611.7329109,11160986.4936844,-22018834.3306387,21732232.7246043,3360,3359.69219079299,"Manufacturing"
65270,"METHODE ELECTRONICS, INC.",3678,67,6565109.77267512,91695732.8415076,11202416.7310912,-15391627.0202636,28521846.5656138,3678,3678.10707754631,"Manufacturing"
65312,"EVI Industries, Inc.",7200,67,3218924.15804364,16296325.0812102,1990912.98022117,-683265.283189846,7121113.59927713,7200,7199.83069048174,"Services"
66004,"MIDDLESEX WATER COMPANY",4941,67,9437812.23838458,17216610.6411273,2103343.75572537,5315258.47716286,13560365.9996063,4941,4941.21577449385,"Transportation/Public Utilities"
66740,"3M COMPANY",3841,67,1005485990.13829,1143667379.59845,139721208.293974,731632421.882103,1279339558.39448,3841,3841.66446859728,"Manufacturing"
66756,"ALLETE, Inc.",4931,67,13288208.3910716,93951805.6514116,11478039.8927045,-9208749.79862931,35785166.5807725,4931,4932.78722889687,"Transportation/Public Utilities"
67887,"MOOG Inc.",3590,67,15498119.9781238,94984996.0576989,11604264.1905549,-7246237.83536383,38242477.7916115,3590,3590.5474107626,"Manufacturing"
69422,"THE INTERGROUP CORPORATION",6513,67,2538532.7524278,16501905.1569098,2016028.58384012,-1412883.27189883,6489948.77675444,6513,6513.27314517348,"Finance/Insurance/Real Estate"
69891,"National Beverage Corp.",2086,67,8463165.87511211,92936133.748194,11353955.8206401,-13790587.5333425,30716919.2835668,2086,2086.11084769746,"Manufacturing"
70502,"NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORPORATION",6159,67,70989405.9617521,161154423.612312,19688146.3882768,32400639.0407295,109578172.882775,6159,6158.53965403843,"Finance/Insurance/Real Estate"
72331,"NORDSON CORPORATION",3569,67,51456241.9599387,104363780.233316,12750065.0420278,26466114.4775642,76446369.4423131,3569,3568.70273791984,"Manufacturing"
72573,"MOVADO GROUP, INC.",3873,67,10041036.0618389,27753247.3156004,3390598.80363002,3395462.40672405,16686609.7169537,3873,3873.72627212699,"Manufacturing"
73290,"BIOMERICA, INC.",2835,67,2343763.695236,16439732.546742,2008432.99060174,-1592764.96634341,6280292.35681542,2835,2834.36348340035,"Manufacturing"
73309,"NUCOR CORPORATION",3312,67,387285106.811017,623799074.191682,76209186.2839755,237915101.694425,536655111.927608,3312,3311.79105404088,"Manufacturing"
74260,"OLD REPUBLIC INTERNATIONAL CORPORATION",6351,67,100058856.108801,211656514.642839,25857958.7883079,49377256.8837177,150740455.333885,6351,6349.95875031704,"Finance/Insurance/Real Estate"
78749,"AGILYSYS, INC.",7373,67,33319615.3013262,115014436.233526,14051249.7676036,5779165.75682314,60860064.8458292,7373,7372.83056048167,"Services"
78814,"PITNEY BOWES INC.",3579,67,16537167.3882331,112997396.217274,13804829.1095737,-10520297.6665313,43594632.4429975,3579,3580.84123273574,"Manufacturing"
80172,"NATIONAL PRESTO INDUSTRIES INC",3480,67,12198889.6084955,16953796.0329088,2071235.8410706,8139267.35999709,16258511.8569938,3480,3479.16797361336,"Manufacturing"
80420,"Powell Industries, Inc.",3613,67,38897791.8638105,113361061.33015,13849257.8743455,11753246.4300933,66042337.2975276,3613,3612.51149811281,"Manufacturing"
80424,"PROCTER & GAMBLE CO",2840,67,2163877549.05678,1755892505.30956,214516411.72307,1743425382.07956,2584329716.03399,2840,2839.45222124876,"Manufacturing"
89439,"MUELLER INDUSTRIES, INC.",3350,67,29542122.4769877,108951809.413218,13310582.0176269,3453381.72243905,55630863.2315364,3350,3349.63496810105,"Manufacturing"
90168,"SIFCO Industries, Inc.",3724,67,2518231.30608053,16509741.4107466,2016985.9346172,-1435061.12576918,6471523.73793024,3724,3724.22010043776,"Manufacturing"
91767,"SONOCO PRODUCTS COMPANY",2650,67,83411377.2888457,58082615.5615045,7095920.86990989,69503372.3838223,97319382.1938691,2650,2649.88899570132,"Manufacturing"
95029,"STURM, RUGER & COMPANY, INC.",3480,67,-1124776.38330608,90420389.3372313,11046608.7238103,-22776129.4819743,20526576.7153622,3480,3480.26236380132,"Manufacturing"
96793,"SUNLINK HEALTH SYSTEMS, INC.",8062,67,2321793.11481137,16589840.7577922,2026771.62733906,-1650679.27477318,6294265.50439593,8062,8061.05455690216,"Services"
96885,"TEL-INSTRUMENT ELECTRONICS CORP.",3670,67,2614074.69351212,16404086.6385042,2004078.14979875,-1313918.48009344,6542067.86711767,3670,3669.72656817451,"Manufacturing"
98362,"TIMKEN CO",3562,67,48020050.1386519,111355738.113446,13604268.6512059,21355683.5822882,74684416.6950155,3562,3562.82880560005,"Manufacturing"
99780,"TRINITY INDUSTRIES INC",3743,67,40878259.1044754,137419564.208934,16788471.803091,7972854.37041697,73783663.8385338,3743,3741.93709091697,"Manufacturing"
100378,"TWIN DISC INC",3560,67,33161402.7226614,114604857.673737,14001211.7825339,5719027.62889501,60603777.8164278,3560,3559.78122832538,"Manufacturing"
100493,"TYSON FOODS, INC.",2015,67,314203477.65439,302913651.970949,37006792.54923,241670164.257899,386736791.05088,2015,2015.75544856014,"Manufacturing"
100726,"UNIFI, INC.",2200,67,-5095350.84899036,87461294.8028079,10685097.788742,-26038142.5149248,15847440.816944,2200,2200.51843888255,"Manufacturing"
102037,"UNIVERSAL CORPORATION",5150,67,16237425.7381131,93035499.5224489,11366095.2820689,-6040121.01474194,38514972.4909681,5150,5149.73231389268,"Wholesale Trade"
103595,"VILLAGE SUPER MARKET, INC.",5411,67,8883799.77001079,17445559.6722856,2131314.3316479,4706423.6799809,13061175.8600407,5411,5412.56659641023,"Retail Trade"
104894,"ELME COMMUNITIES",6798,67,5973168.28058272,100370714.809241,12262234.4578902,-18060811.2568821,30007147.8180475,6798,6797.86240660662,"Finance/Insurance/Real Estate"
105132,"WD-40 COMPANY",2890,67,4416484.83470408,59401839.6368352,7257089.74217451,-9807411.05995796,18640380.7293661,2890,2890.37117254274,"Manufacturing"
107140,"JOHN WILEY & SONS, INC.",2731,67,13705059.7184652,99575425.3732061,12165074.3893873,-10138486.084734,37548605.5216643,2731,2731.98600740447,"Manufacturing"
108312,"WOODWARD, INC.",3620,67,27424284.1572283,97607075.4216903,11924602.1695119,4052063.90498503,50796504.4094716,3620,3619.50401959058,"Manufacturing"
108385,"WORLD ACCEPTANCE CORPORATION",6141,67,1390461.91817019,91228562.9162633,11145342.8409041,-20454410.0500019,23235333.8863423,6141,6139.87694923684,"Finance/Insurance/Real Estate"
109177,"Spectrum Brands Holdings, Inc.",3690,67,77863640.4665638,283285612.256574,34608845.8435213,10030302.613262,145696978.319866,3690,3689.06714309057,"Manufacturing"
109380,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",6021,67,73869118.483026,147734891.217874,18048689.5721269,38493686.9216572,109244550.044395,6021,6021.22807226958,"Finance/Insurance/Real Estate"
109563,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",5080,67,15690552.0647175,97665039.5107433,11931683.6100641,-7695547.8110082,39076651.9404431,5080,5079.59769388167,"Wholesale Trade"
110621,"RPM INTERNATIONAL INC/DE/",2851,67,83459467.4766513,67661240.0823829,8266136.10532328,67257840.7102177,99661094.2430849,2851,2851.60839185496,"Manufacturing"
205402,"GRAYBAR ELECTRIC COMPANY, INC.",5063,67,23581454.5180554,101560565.977235,12407597.9139507,-737437.393287938,47900346.4293987,5063,5062.66500221458,"Wholesale Trade"
216877,"PISMO COAST VILLAGE, INC.",7000,67,2900010.77523054,16335055.0950371,1995644.60449032,-1011452.64957049,6811474.20003156,7000,6999.13066860788,"Services"
276720,"PURE CYCLE CORPORATION",4941,67,3212161.03350039,16462227.588645,2011181.1973718,-729754.113348334,7154076.18034912,4941,4940.62970333172,"Transportation/Public Utilities"
278166,"CAVCO INDUSTRIES INC.",2451,67,17437004.6592356,23674939.8443647,2892354.24595499,11767990.3371639,23106018.9813074,2451,2449.03017423352,"Manufacturing"
310764,"STRYKER CORP",3841,67,437699535.986121,301401568.383603,36822062.1375437,365528294.196536,509870777.775707,3841,3840.78320593905,"Manufacturing"
313143,"HAEMONETICS CORPORATION",3841,67,38754958.6867355,114109049.061312,13940639.1198469,11431306.0118356,66078611.3616353,3841,3841.75090178825,"Manufacturing"
315189,"DEERE & CO",3523,67,897513675.230546,668192490.884611,81632705.3344285,737513572.775067,1057513777.68603,3523,3522.17005691332,"Manufacturing"
316253,"ENZO BIOCHEM, INC.",2836,67,76273.9724331741,21213392.4572508,2591628.36941457,-5003317.63161938,5155865.57648573,2836,2836.17538759049,"Manufacturing"
318299,"SPARTA COMMERCIAL SERVICES, INC.",7389,67,2239678.71050119,16469680.6641641,2012091.73546672,-1704021.09101358,6183378.51201596,7389,7387.59328898041,"Services"
320187,"NIKE, Inc.",3021,67,844401714.513165,475341211.904455,58072171.73802,730580257.906646,958223171.119684,3021,3020.67156043388,"Manufacturing"
320193,"Apple Inc.",3571,67,12483009469.6764,8777551039.11427,1072348533.2577,10381206344.4913,14584812594.8615,3571,3571.04667135144,"Manufacturing"
355019,"FONAR CORPORATION",3845,67,6390247.53122147,17536498.6403348,2142424.29484481,2191095.91332565,10589399.1491173,3845,3845.03567807656,"Manufacturing"
356309,"NEW JERSEY RESOURCES CORPORATION",4924,67,36453049.5520884,59249497.8745331,7238478.2337218,22265632.2139937,50640466.8901832,4924,4922.91046055575,"Transportation/Public Utilities"
703351,"BRINKER INTERNATIONAL, INC.",5812,67,16647477.2836661,95845125.674499,11709345.7479138,-6302840.38224492,39597794.9495771,5812,5811.02031100282,"Retail Trade"
704172,"PHI GROUP, INC.",8741,67,2396978.28224411,16428180.818563,2007021.72238876,-1536784.29363785,6330740.85812607,8741,8739.60048630709,"Services"
706863,"UNION BANKSHARES, INC.",6022,67,5613441.85374384,17631676.3432818,2154052.10192895,1391499.73396309,9835383.97352458,6022,6020.71327923308,"Finance/Insurance/Real Estate"
707549,"LAM RESEARCH CORPORATION",3559,67,378505522.574487,407330933.178933,49763393.7756055,280969270.7743,476041774.374674,3559,3558.87183087412,"Manufacturing"
707605,"AMERISERV FINANCIAL INC /PA/",6021,67,4637085.68798577,17837638.088329,2179214.33388002,365825.59358092,8908345.78239061,6021,6022.35879879057,"Finance/Insurance/Real Estate"
711377,"Neogen Corporation",2835,67,-6826810.16983975,105858568.18989,12932682.456113,-32174867.7838212,18521247.4441417,2835,2834.95219526826,"Manufacturing"
711404,"The Cooper Companies, Inc.",3851,67,76004027.2052758,281805090.501907,34427971.3233962,8525203.41141923,143482850.999132,3851,3850.34692099768,"Manufacturing"
712515,"ELECTRONIC ARTS INC.",7372,67,156978551.807319,336156606.338993,41068065.813136,76485142.8135723,237471960.801065,7372,7372.80244605298,"Services"
712770,"ONE LIBERTY PROPERTIES, INC.",6798,67,9004565.32250053,17492273.7488066,2137021.36442009,4816003.44823715,13193127.1967639,6798,6797.8714299329,"Finance/Insurance/Real Estate"
713425,"LOGILITY SUPPLY CHAIN SOLUTIONS, INC.",7372,67,6549891.3778612,17597444.2145709,2149869.98178521,2336146.21356219,10763636.5421602,7372,7373.22339623927,"Services"
715446,"ANIXA BIOSCIENCES, INC.",2834,67,1376843.08115055,16652084.810807,2034375.94871036,-2610533.77832177,5364219.94062286,2834,2833.63508753682,"Manufacturing"
716314,"GRAHAM CORP",3560,67,33779650.8608748,114017529.456222,13929458.2205453,6477912.74860588,61081388.9731436,3560,3560.05085630953,"Manufacturing"
717423,"MURPHY OIL CORPORATION",1311,67,93186139.0432107,328347176.339267,40113992.08933,14562714.548124,171809563.538297,1311,1310.39469338665,"Mining"
720005,"RAYMOND JAMES FINANCIAL, INC.",6211,67,176520053.98954,139667544.976439,17063106.3643808,143076365.515354,209963742.463727,6211,6209.00620459151,"Finance/Insurance/Real Estate"
720154,"INOTIV, INC.",8731,67,-1907294.70882066,23550916.8109734,2877202.42087819,-7546611.4537419,3732022.03610059,8731,8732.1204103964,"Services"
720762,"NON INVASIVE MONITORING SYSTEMS INC /FL/",3845,67,2641963.94896735,16377525.9618268,2000833.24668734,-1279669.21453985,6563597.11247454,3845,3844.00798706562,"Manufacturing"
720875,"Dynatronics Corporation",3841,67,2484034.45624549,16415191.6906737,2005434.84785184,-1446617.84554411,6414686.7580351,3841,3842.42992651068,"Manufacturing"
721371,"Cardinal Health, Inc.",5122,67,139809012.845587,710181933.719143,86762532.234354,-30245550.3337468,309863576.024921,5122,5121.79472598567,"Wholesale Trade"
723125,"Micron Technology, Inc.",3674,67,645624402.161951,1202742379.9296,146938368.259779,357625200.372784,933623603.951118,3674,3673.93386089446,"Manufacturing"
723254,"Cintas Corporation",2320,67,164011308.940594,117675911.239022,14376400.6901932,135833563.587815,192189054.293373,2320,2321.09640948258,"Manufacturing"
725363,"CEL-SCI CORPORATION",2836,67,-1927592.97171919,20169906.0956769,2464146.2204277,-6757319.56375748,2902133.62031909,2836,2834.90339412419,"Manufacturing"
729986,"UNITED BANKSHARES INC/WV",6022,67,31664259.0938758,101037916.684246,12343746.1402331,7470516.65901902,55858001.5287326,6022,6021.37531342037,"Finance/Insurance/Real Estate"
730263,"THOR Industries, Inc.",3716,67,36767060.6607852,114828767.31355,14028566.6988158,9271069.93110622,64263051.3904643,3716,3715.70352503624,"Manufacturing"
730464,"Adtalem Global Education Inc.",8200,67,9180998.96361406,107733684.548144,13161764.3797042,-16616059.2206061,34978057.1478342,8200,8200.4850511471,"Services"
731653,"UNITED BANCORP INC /OH/",6022,67,4716653.57633663,17529692.8863242,2141592.83965891,519131.610605176,8914175.54206808,6022,6023.08780214,"Finance/Insurance/Real Estate"
732026,"TRIO-TECH INTERNATIONAL",3559,67,2797832.41165392,16354722.6253309,1998047.37573816,-1118340.44479289,6714005.26810072,3559,3559.62432215373,"Manufacturing"
733590,"Transcontinental Realty Investors, Inc.",6798,67,40192407.7004365,121953659.457361,14899010.8131239,10990346.5067138,69394468.8941593,6798,6799.43733289528,"Finance/Insurance/Real Estate"
746514,"New England Realty Associates Limited Partnership",6513,67,3652460.56658036,16253466.9305512,1985677.02376902,-239466.40000693,7544387.53316764,6513,6515.03199570256,"Finance/Insurance/Real Estate"
746598,"BRADY CORP",3990,67,7906983.20278926,93511765.027835,11424280.374228,-14484606.3306976,30298572.7362761,3990,3990.56763985387,"Manufacturing"
750558,"QNB Corp.",6022,67,5949964.24180354,17573527.0231761,2146948.03180193,1741946.09947174,10157982.3841353,6022,6022.91159595728,"Finance/Insurance/Real Estate"
763532,"LSI INDUSTRIES INC.",3640,67,33897559.4241039,114369551.211639,13972464.522806,6511528.9594042,61283589.8888035,3640,3641.09166982783,"Manufacturing"
765207,"FIRST BANCORP, INC",6021,67,8483091.27200782,17198163.2794166,2101090.05179534,4364954.77048895,12601227.7735267,6021,6021.47686940988,"Finance/Insurance/Real Estate"
768408,"Cyanotech Corp",2833,67,2545545.85906294,16408517.7727781,2004619.49901085,-1383508.35899833,6474600.07712422,2833,2832.45468846872,"Manufacturing"
771497,"ABM INDUSTRIES INCORPORATED",7340,67,6690313.42221204,93774249.5257268,11456347.9594876,-15764128.5783836,29144755.4228077,7340,7340.35096568154,"Services"
771856,"CHAMPIONS ONCOLOGY, INC.",2836,67,2106128.17318776,16519173.6067932,2018138.26076727,-1849422.8179161,6061679.16429161,2836,2836.82226304038,"Manufacturing"
772406,"CIRRUS LOGIC, INC.",3674,67,24321960.8106789,101542626.904984,12405406.3074615,7364.44805429131,48636557.1733035,3674,3674.7493165522,"Manufacturing"
775057,"ALTEX INDUSTRIES INC",1311,67,2719769.73273707,16363811.1157334,1999157.71156068,-1198579.38192186,6638118.847396,1311,1311.96651796978,"Mining"
779152,"JACK HENRY & ASSOCIATES, INC.",7373,67,31786220.0794187,101390928.166459,12386873.3568664,7507948.29996062,56064491.8588767,7373,7374.25977388144,"Services"
779544,"ARK RESTAURANTS CORP.",5812,67,3443662.23327845,16313798.9210575,1993047.74952609,-462711.355792677,7350035.82234958,5812,5812.6396224325,"Retail Trade"
783412,"DAILY JOURNAL CORPORATION",2711,67,-4371292.09345663,90277171.7168277,11029111.9067036,-25988351.4305957,17245767.2436824,2711,2711.31254456819,"Manufacturing"
785786,"PLEXUS CORP.",3672,67,6141612.51543724,93173571.9079206,11382963.5086829,-16168995.9615813,28452220.9924557,3672,3671.97423932463,"Manufacturing"
785956,"J&J SNACK FOODS CORP.",2052,67,2628178.79216611,91434020.6587288,11170443.4991398,-19265890.4661479,24522248.0504802,2052,2053.52452216199,"Manufacturing"
788329,"Johnson Outdoors Inc.",3949,67,10146051.0259041,18740577.9899183,2289525.99994432,5658580.06601324,14633521.985795,3949,3949.84063763206,"Manufacturing"
788920,"PRO-DEX, INC.",3841,67,3237119.85923057,16296596.8269164,1990946.17924311,-665134.652085925,7139374.37054706,3841,3842.45310652788,"Manufacturing"
789019,"MICROSOFT CORPORATION",7372,67,6589998373.59766,7264009205.63297,887439968.451267,4850616035.43318,8329380711.76214,7372,7371.3282888312,"Services"
792966,"FARMERS & MERCHANTS BANCORP, INC.",6035,67,7141113.49553488,17425426.8485087,2128854.71575375,2968558.25265753,11313668.7384122,6035,6034.46463853181,"Finance/Insurance/Real Estate"
794619,"American Woodmark Corp",2430,67,-3097413.84398165,90693259.7165085,11079945.1464279,-24814106.3309804,18619278.6430171,2430,2429.44274520668,"Manufacturing"
800240,"The ODP Corporation",5940,67,3056310.3738788,94589638.636329,11555963.594064,-19593378.2704867,25705999.0182443,5940,5940.13844593484,"Retail Trade"
804328,"QUALCOMM INC/DE",3663,67,1275057866.95937,1234060779.06708,150764519.680535,979559408.385526,1570556325.53322,3663,3664.06079652774,"Manufacturing"
807863,"MITEK SYSTEMS, INC.",3577,67,2843486.43007307,16544295.6772921,2021207.41016119,-1118080.09384286,6805052.95398901,3577,3576.02829094025,"Manufacturing"
807882,"JACK IN THE BOX INC.",5812,67,4096357.33268679,93326942.7688092,11401700.7415381,-18250976.1207279,26443690.7861015,5812,5811.1344733266,"Retail Trade"
810136,"PHOTRONICS, INC.",3674,67,13308517.9009413,18992037.5851436,2320246.67897105,8760834.410158,17856201.3917245,3674,3674.36666769959,"Manufacturing"
812011,"Vail Resorts, Inc.",7990,67,45764273.7293089,141027053.418848,17229196.7553876,11995048.0887493,79533499.3698685,7990,7989.88726030362,"Services"
817720,"SYNAPTICS INCORPORATED",3674,67,35891512.9143789,106131971.473424,12966083.9833474,10477988.3070179,61305037.5217398,3674,3674.55878545247,"Manufacturing"
820771,"GOLIATH FILM AND MEDIA HOLDINGS",7822,67,2702349.04247999,16366742.0356782,1999515.78042178,-1216701.88714671,6621399.97210668,7822,7822.84089693426,"Services"
823277,"CHS Inc.",5150,67,193037393.670259,162243411.386736,19821187.4195889,154187866.327864,231886921.012653,5150,5150.22496834532,"Wholesale Trade"
825324,"Good Times Restaurants Inc.",5812,67,2791390.90502941,16597990.0369299,2027767.22024322,-1183032.84664729,6765814.65670612,5812,5811.57793368341,"Retail Trade"
827054,"MICROCHIP TECHNOLOGY INCORPORATED",3674,67,128900324.785397,154159918.549653,18833631.5912244,91986406.8665968,165814242.704196,3674,3673.70514705425,"Manufacturing"
828530,"ADMIRAL FINANCIAL CORP.",6035,67,2727098.27732556,16362402.8967472,1998985.6702296,-1190913.63632447,6645110.19097558,6035,6037.06882994758,"Finance/Insurance/Real Estate"
829224,"Starbucks Corporation",5810,67,639120934.260435,520165364.870022,63548313.5995654,514566239.605287,763675628.915583,5810,5810.17517708475,"Retail Trade"
833444,"JOHNSON CONTROLS INTERNATIONAL PLC",3585,67,265827945.73467,666701325.99899,81450530.5489085,106184905.858809,425470985.610531,3585,3585.29561940175,"Manufacturing"
834071,"TOYOTA MOTOR CREDIT CORPORATION",6141,67,316600866.825288,398371416.721916,48668814.6283506,221209990.15372,411991743.496855,6141,6140.50848122108,"Finance/Insurance/Real Estate"
836157,"Lindsay Corporation",3523,67,11025105.8224049,17939794.0108122,2191694.6661675,6729384.27671658,15320827.3680932,3523,3522.96658291343,"Manufacturing"
849146,"LIFEVANTAGE CORP",2834,67,33620392.387648,114565577.596192,13996412.957286,6187422.99136749,61053361.7839284,2834,2834.56514473563,"Manufacturing"
849401,"ADM TRONICS UNLIMITED, INC.",3845,67,2722045.84482955,16364068.9766845,1999189.21428979,-1196365.01517844,6640456.70483754,3845,3845.60388986768,"Manufacturing"
854775,"DIGI INTERNATIONAL INC.",3576,67,6059009.95232425,17706086.6573604,2163142.7686543,1819250.12576182,10298769.7788867,3576,3575.80987944265,"Manufacturing"
857005,"PTC Inc.",7372,67,14661175.0336951,95581277.6770851,11677111.5846752,-8225963.67226828,37548313.7396585,7372,7371.46312109338,"Services"
858877,"CISCO SYSTEMS, INC.",3576,67,2016811859.12235,1564156119.20556,191092083.969857,1642271374.54143,2391352343.70327,3576,3574.41257999541,"Manufacturing"
859070,"FIRST COMMUNITY BANKSHARES INC /VA/",6022,67,10047252.2684064,17203058.2982309,2101688.07352399,5927943.64429936,14166560.8925134,6022,6021.46385149455,"Finance/Insurance/Real Estate"
