"","cik","entityName","loc","2008Q1","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4","2023Q1","2023Q2","2023Q3","2023Q4","2024Q1","2024Q2","2024Q3","2024Q4","sic","sicDescription"
"20","0000023217","CONAGRA BRANDS, INC.","US-IL",NA,NA,442400000,168100000,193200000,NA,165900000,239700000,229600000,90600000,146400000,202700000,216600000,250100000,93800000,180200000,280100000,-86200000,250100000,211600000,1.2e+08,192200000,144300000,248700000,234300000,-324200000,482300000,1e+07,-954100000,209200000,-1154100000,154900000,204600000,117600000,186200000,122100000,179700000,151300000,152500000,223500000,362800000,69600000,178200000,131600000,2.42e+08,126500000,173800000,260500000,204400000,201400000,3.29e+08,378900000,281400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,319700000,286200000,308600000,NA,466800000,284500000,2000,"Food and Kindred Products"
"21","0000037785","FMC CORPORATION","US-PA",NA,NA,8e+07,NA,69100000,69300000,2.8e+07,NA,77400000,65700000,82900000,-53500000,9.4e+07,107200000,86800000,77900000,119100000,104900000,9e+07,102200000,130900000,1.18e+08,17900000,27100000,65600000,109100000,56300000,76500000,-46800000,742300000,-2400000,-204100000,48300000,65200000,79700000,15900000,-124200000,74700000,55200000,530100000,267200000,129700000,72800000,32400000,215700000,174500000,90400000,-3200000,206200000,184400000,111400000,49500000,184500000,204700000,159700000,190700000,207400000,134200000,1.21e+08,273900000,1.96e+08,30500000,-3500000,1098500000,-2700000,295100000,6.5e+07,-16300000,2800,"Chemicals & Allied Products"
"22","0000320187","NIKE, Inc.","US-OR",NA,NA,510500000,3.91e+08,243800000,NA,5.13e+08,3.75e+08,4.97e+08,NA,5.59e+08,4.57e+08,5.23e+08,NA,6.45e+08,4.69e+08,5.6e+08,NA,5.67e+08,3.84e+08,8.66e+08,NA,7.79e+08,5.34e+08,6.82e+08,NA,9.62e+08,6.55e+08,7.91e+08,NA,1.179e+09,7.85e+08,9.5e+08,NA,1.249e+09,8.42e+08,1.141e+09,NA,9.5e+08,7.67e+08,-9.21e+08,NA,1.092e+09,8.47e+08,1.101e+09,NA,1.367e+09,1.115e+09,8.47e+08,NA,1.518e+09,1.251e+09,1.449e+09,NA,1.874e+09,1.337e+09,1.396e+09,NA,1.468e+09,1.331e+09,1.24e+09,NA,1.45e+09,1.578e+09,1.172e+09,NA,1.051e+09,1.163e+09,3021,"Rubber & Plastics Footwear"
"23","0000721371","Cardinal Health, Inc.","US-OH",NA,NA,249100000,316500000,312900000,273200000,-38200000,234500000,222400000,223500000,2.95e+08,215400000,2.46e+08,2.03e+08,2.37e+08,2.62e+08,3.33e+08,2.36e+08,2.71e+08,3.03e+08,3.45e+08,-5.86e+08,3.39e+08,2.78e+08,3.15e+08,2.34e+08,2.66e+08,2.89e+08,3.65e+08,2.95e+08,3.83e+08,3.26e+08,3.86e+08,3.33e+08,3.09e+08,3.24e+08,3.81e+08,2.74e+08,1.15e+08,1.053e+09,2.55e+08,-1.166e+09,5.93e+08,2.8e+08,2.96e+08,1.94e+08,-4.922e+09,2.2e+08,3.5e+08,6.56e+08,-2.53e+08,6.29e+08,1.19e+08,NA,2.71e+08,4.9e+07,-1.391e+09,NA,9.8e+07,-7.7e+07,3.65e+08,NA,-1.2e+07,3.68e+08,2.61e+08,NA,4.16e+08,4e+08,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries"
"24","0000858877","CISCO SYSTEMS, INC.","US-CA",NA,NA,2.201e+09,1.504e+09,1.348e+09,1.081e+09,1.787e+09,1.853e+09,2.192e+09,1.935e+09,1.93e+09,1.521e+09,1.807e+09,1.232e+09,1.777e+09,2.182e+09,2.165e+09,NA,2.092e+09,3.143e+09,2.478e+09,NA,1.996e+09,1.429e+09,2.181e+09,NA,1.828e+09,2.397e+09,2.437e+09,NA,2.43e+09,3.147e+09,2.349e+09,2.813e+09,2.322e+09,2.348e+09,2.515e+09,2.424e+09,2.394e+09,-8.778e+09,2.691e+09,3.803e+09,3.549e+09,2.822e+09,3.044e+09,2.206e+09,2.926e+09,2.878e+09,2.774e+09,2.636e+09,2.174e+09,2.545e+09,2.863e+09,NA,2.98e+09,2.973e+09,3.044e+09,NA,2.67e+09,2.773e+09,3.212e+09,NA,3.638e+09,2.634e+09,1.886e+09,NA,2.711e+09,2.428e+09,3576,"Computer Communications Equipment"
"25","0001048911","FedEx Corporation","US-TN",NA,NA,3.84e+08,4.93e+08,9.7e+07,NA,1.81e+08,3.45e+08,2.39e+08,4.19e+08,3.8e+08,2.83e+08,2.31e+08,5.58e+08,4.64e+08,4.97e+08,5.21e+08,5.5e+08,4.59e+08,4.38e+08,3.61e+08,3.03e+08,5.48e+08,5.59e+08,4.37e+08,7.8e+08,6.53e+08,6.63e+08,6.28e+08,-8.95e+08,6.92e+08,6.91e+08,5.07e+08,-7e+07,7.15e+08,7e+08,5.62e+08,1.02e+09,5.96e+08,7.75e+08,2.074e+09,1.127e+09,8.35e+08,9.35e+08,7.39e+08,-1.969e+09,7.45e+08,5.6e+08,3.15e+08,-3.34e+08,1.245e+09,1.226e+09,8.92e+08,NA,1.112e+09,1.044e+09,1.112e+09,NA,8.75e+08,7.88e+08,7.71e+08,NA,1.078e+09,9e+08,8.79e+08,NA,7.94e+08,7.41e+08,4513,"Air Courier Services"
"26","0000047217","HP INC.","US-CA",NA,NA,NA,1.856e+09,1.721e+09,1.671e+09,NA,2.25e+09,2.2e+09,1.773e+09,NA,2.605e+09,2.304e+09,1.926e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.366e+09,1.011e+09,8.54e+08,NA,5.92e+08,6.29e+08,7.83e+08,NA,6.11e+08,5.59e+08,6.96e+08,NA,1.938e+09,1.058e+09,8.8e+08,NA,8.03e+08,7.82e+08,1.179e+09,NA,6.78e+08,7.64e+08,7.34e+08,NA,1.068e+09,1.228e+09,NA,NA,1.052e+09,9.81e+08,1.122e+09,NA,NA,NA,NA,NA,6.22e+08,6.07e+08,6.4e+08,NA,5.65e+08,3570,"Computer & office Equipment"
"27","0000100493","TYSON FOODS, INC.","US-AR",NA,NA,NA,-1.02e+08,-1.19e+08,1.31e+08,-4.57e+08,1.6e+08,1.59e+08,2.48e+08,2.13e+08,2.98e+08,1.59e+08,1.96e+08,9.7e+07,1.56e+08,1.66e+08,7.6e+07,1.85e+08,1.73e+08,9.5e+07,2.49e+08,2.61e+08,2.54e+08,2.13e+08,2.6e+08,1.37e+08,3.09e+08,3.1e+08,3.43e+08,2.58e+08,4.61e+08,4.32e+08,4.84e+08,3.91e+08,5.93e+08,3.4e+08,4.47e+08,3.94e+08,1.631e+09,3.15e+08,5.41e+08,5.37e+08,5.3e+08,3.94e+08,6.84e+08,3.72e+08,5.05e+08,3.76e+08,5.26e+08,6.54e+08,4.67e+08,4.76e+08,7.49e+08,NA,1.121e+09,8.29e+08,7.5e+08,NA,3.16e+08,-9.7e+07,-4.17e+08,NA,1.07e+08,1.45e+08,1.91e+08,NA,3.59e+08,2015,"Poultry Slaughtering and Processing"
"28","0000315189","DEERE & CO","US-IL",NA,NA,NA,2.04e+08,4.72e+08,4.2e+08,-2.23e+08,2.43e+08,5.48e+08,6.17e+08,4.57e+08,5.14e+08,9.04e+08,7.12e+08,6.7e+08,5.33e+08,1.056e+09,7.88e+08,6.88e+08,6.5e+08,1.084e+09,9.96e+08,8.07e+08,6.81e+08,9.81e+08,8.51e+08,6.49e+08,3.87e+08,6.9e+08,5.12e+08,3.51e+08,2.54e+08,4.96e+08,4.89e+08,2.85e+08,1.99e+08,8.08e+08,6.42e+08,5.1e+08,-5.35e+08,1.208e+09,9.1e+08,7.85e+08,4.98e+08,1.135e+09,8.99e+08,7.21e+08,5.17e+08,6.66e+08,8.11e+08,7.57e+08,1.224e+09,1.79e+09,1.667e+09,NA,9.03e+08,2.098e+09,1.884e+09,NA,1.959e+09,2.86e+09,2.978e+09,NA,1.751e+09,2.37e+09,1.734e+09,NA,8.69e+08,3523,"Farm Machinery & Equipment"
"29","0000723125","Micron Technology, Inc.","US-ID",NA,NA,NA,-7.18e+08,NA,NA,NA,2.04e+08,3.65e+08,9.39e+08,3.42e+08,1.55e+08,7.2e+07,7.5e+07,-1.35e+08,-1.87e+08,-2.82e+08,-3.2e+08,-2.43e+08,-2.75e+08,-2.86e+08,4.3e+07,1.708e+09,3.58e+08,7.31e+08,8.06e+08,1.15e+09,1.003e+09,9.34e+08,4.91e+08,4.71e+08,2.06e+08,-9.7e+07,-2.15e+08,-1.7e+08,1.8e+08,8.94e+08,1.647e+09,2.368e+09,2.678e+09,3.309e+09,3.823e+09,4.325e+09,3.293e+09,1.619e+09,8.4e+08,5.61e+08,4.91e+08,4.05e+08,8.03e+08,9.88e+08,8.03e+08,6.03e+08,1.735e+09,NA,2.306e+09,2.263e+09,2.626e+09,NA,-1.95e+08,-2.312e+09,-1.896e+09,NA,-1.234e+09,7.93e+08,3.32e+08,NA,1.87e+09,3674,"Semiconductors & Related Devices"
"30","0000804328","QUALCOMM INC/DE","US-CA",NA,NA,NA,3.41e+08,-2.89e+08,NA,NA,8.41e+08,7.74e+08,7.67e+08,8.65e+08,1.17e+09,9.99e+08,1.035e+09,1.056e+09,1.401e+09,2.23e+09,1.207e+09,1.271e+09,1.906e+09,1.866e+09,1.58e+09,1.501e+09,1.875e+09,1.959e+09,2.238e+09,1.894e+09,1.972e+09,1.053e+09,1.184e+09,1.061e+09,1.498e+09,1.164e+09,1.444e+09,1.599e+09,6.82e+08,7.49e+08,8.56e+08,1.57e+08,-5.983e+09,3.3e+08,1.202e+09,-5.13e+08,1.068e+09,6.63e+08,2.149e+09,NA,9.25e+08,4.68e+08,8.45e+08,NA,2.455e+09,1.762e+09,2.027e+09,NA,3.399e+09,2.934e+09,3.73e+09,NA,2.235e+09,1.704e+09,1.803e+09,NA,2.767e+09,2.326e+09,2.129e+09,NA,3.18e+09,3663,"Radio & Tv Broadcasting & Communications Equipment"
"31","0000866787","AUTOZONE INC","US-TN",NA,NA,NA,131371000,173689000,NA,236126000,143300000,202745000,NA,268933000,172076000,227373000,NA,301469000,166930000,248586000,NA,323733000,176247000,265583000,NA,371199000,218087000,285157000,NA,373671000,238310000,309071000,NA,401137000,258112000,327515000,NA,426768000,237145000,331700000,NA,433899000,289530000,366721000,NA,400282000,294638000,405949000,NA,565228000,350338000,342896000,NA,740457000,442433000,596164000,NA,NA,555235000,592571000,NA,NA,476544000,647723000,NA,NA,515030000,651726000,NA,NA,564933000,5531,"Retail-Auto & Home Supply Stores"
