year,cik,entityName,loc,sicDescription,pred_cluster,yearly_gross
2022,1037038,Ralph Lauren Corporation,US-NY,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",1,7.08099999999998
2022,874866,CORVEL CORPORATION,US-TX,"Insurance Agents, Brokers & Service",3,0.46988
2023,1032220,"Maximus, Inc.",US-VA,"Services-Business Services, NEC",9,1.576620000000001
2022,729986,UNITED BANKSHARES INC/WV,US-WV,State Commercial Banks,4,3.7962700000000007
2022,15357,CHASE GENERAL CORP,US-MO,Sugar & Confectionery Products,2,0.0018134800000000001
2021,1530425,"ARTISAN CONSUMER GOODS, INC.",US-WA,Metal Mining,1,-0.0006568400000000001
2021,704172,"PHI GROUP, INC.",US-CA,Services-Management Services,9,-0.00851468
2022,1506251,"Citius Pharmaceuticals, Inc.",US-NJ,Pharmaceutical Preparations,2,-0.2888196299999998
2023,926282,"ADTRAN Holdings, Inc.",US-AL,Telephone & Telegraph Apparatus,7,-2.349070000000001
2023,1403161,VISA INC.,US-CA,"Services-Business Services, NEC",9,174.5899999999998
2022,1092796,"Smith & Wesson Brands, Inc.",US-TN,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",1,-2.645839999999996
2023,707549,LAM RESEARCH CORPORATION,US-CA,"Special Industry Machinery, NEC",1,34.696799999999925
2021,1170010,"CARMAX, INC.",US-VA,Retail-Auto Dealers & Gasoline Stations,6,12.267609999999971
2021,6281,"Analog Devices, Inc.",US-MA,Semiconductors & Related Devices,7,17.096039999999952
2023,48465,HORMEL FOODS CORPORATION,US-MN,Meat Packing Plants,1,7.614599999999999
2024,1517681,"PROPANC BIOPHARMA, INC.",AU-,Pharmaceutical Preparations,2,-0.01837893
2024,834071,TOYOTA MOTOR CREDIT CORPORATION,US-TX,Personal Credit Institutions,8,15.43999999999996
2022,788920,"PRO-DEX, INC.",US-CA,Surgical & Medical Instruments & Apparatus,1,0.06366
2023,1003078,"MSC INDUSTRIAL DIRECT CO., INC.",US-NY,Wholesale-Industrial Machinery & Equipment,1,3.3885000000000023
2021,946673,BANNER CORPORATION,US-WA,State Commercial Banks,4,2.010480000000003
2022,828530,ADMIRAL FINANCIAL CORP.,US-FL,"Savings Institution, Federally Chartered",8,0.0
2021,1525306,First America Resources Corporation,US-IL,"Wholesale-Electronic Parts & Equipment, NEC",1,-0.00016239000000000002
2021,1005731,IDT CORPORATION,US-NJ,Telephone Communications (No Radiotelephone),9,0.7770500000000001
2021,820771,GOLIATH FILM AND MEDIA HOLDINGS,US-NV,Services-Motion Picture & Video Tape Distribution,9,0.00005416999999999998
2023,1481504,"XERIANT, INC.",US-FL,Aircraft,1,-0.02320671
2022,1666138,Atkore Inc.,US-IL,"Miscellaneous Electrical Machinery, Equipment & Supplies",1,9.15594999999999
2024,1629210,PARAMOUNT GOLD NEVADA CORP.,US-NV,Metal Mining,1,-0.07231717
2021,1005210,SUBURBAN PROPANE PARTNERS LP,US-NJ,Retail-Miscellaneous Retail,6,0.96472
2024,1434524,CLEARSIGN TECHNOLOGIES CORPORATION,US-OK,"Industrial Instruments For Measurement, Display, and Control",1,-0.05299
2021,1414382,"Concrete Leveling Systems, Inc.",US-OH,Misc Industrial & Commercial Machinery & Equipment,1,-0.00047023000000000003
2024,707549,LAM RESEARCH CORPORATION,US-CA,"Special Industry Machinery, NEC",1,42.391139999999965
2023,918646,EAGLE MATERIALS INC,US-TX,"Cement, Hydraulic",0,5.17724
2023,47217,HP INC.,US-CA,Computer & office Equipment,1,39.879999999999995
2021,918965,"ScanSource, Inc.",US-SC,Wholesale-Computers & Peripheral Equipment & Software,1,0.71521
2021,875582,NORTHERN TECHNOLOGIES INTERNATIONAL CORPORATION,US-MN,"Coating, Engraving & Allied Services",1,0.0813140899999999
2023,717423,MURPHY OIL CORPORATION,US-TX,Crude Petroleum & Natural Gas,0,6.615999999999988
2024,1589526,BLUE BIRD CORPORATION,US-GA,Truck & Bus Bodies,1,1.1216700000000002
2022,1157647,"Western New England Bancorp, Inc.",US-MA,"Savings Institution, Federally Chartered",8,0.2588700000000001
2023,1376986,TENNESSEE VALLEY AUTHORITY,US-TN,Electric Services,9,0.5900000000000001
2023,320187,"NIKE, Inc.",US-OR,Rubber & Plastics Footwear,1,55.0799999999999
2022,320187,"NIKE, Inc.",US-OR,Rubber & Plastics Footwear,1,55.910000000000004
2023,37785,FMC CORPORATION,US-PA,Chemicals & Allied Products,2,13.215
2023,9092,"BADGER METER, INC.",US-WI,Totalizing Fluid Meters & Counting Devices,1,0.92598
2023,15357,CHASE GENERAL CORP,US-MO,Sugar & Confectionery Products,2,-0.00121716
2023,1005286,"LIFECORE BIOMEDICAL, INC.",US-MN,Pharmaceutical Preparations,2,-0.6955
2021,1604028,"ADVANCED DRAINAGE SYSTEMS, INC.",US-OH,Plastics Foam Products,1,2.78798
2023,1511737,UBIQUITI INC.,US-NY,Radio & Tv Broadcasting & Communications Equipment,7,3.670200000000002
2024,15357,CHASE GENERAL CORP,US-MO,Sugar & Confectionery Products,2,-0.0009319199999999999
2021,1002047,"NetApp, Inc.",US-CA,Computer Storage Devices,7,8.600000000000001
2021,1282648,Battalion Oil Corp,US-TX,Crude Petroleum & Natural Gas,0,-0.2831699999999989
2022,63296,MATTHEWS INTERNATIONAL CORP,US-PA,Nonferrous Foundries (Castings),1,0.07584
2021,1629210,PARAMOUNT GOLD NEVADA CORP.,US-NV,Metal Mining,1,-0.07325102
2023,1037038,Ralph Lauren Corporation,US-NY,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",1,7.72099999999998
2023,63296,MATTHEWS INTERNATIONAL CORP,US-PA,Nonferrous Foundries (Castings),1,0.2429999999999998
2024,320193,Apple Inc.,US-CA,Electronic Computers,7,1028.619999999998
2023,356309,NEW JERSEY RESOURCES CORPORATION,US-NJ,Natural Gas Distribution,0,2.0272200000000002
2024,102037,UNIVERSAL CORPORATION,US-VA,Wholesale-Farm Product Raw Materials,1,1.389250000000001
2024,1169770,"BANC OF CALIFORNIA, INC.",US-CA,National Commercial Banks,4,1.26888
2021,807863,"MITEK SYSTEMS, INC.",US-CA,"Computer Peripheral Equipment, NEC",7,0.08934
2023,1415744,NORTHERN MINERALS & EXPLORATION LTD.,US-UT,Gold and Silver Ores,1,-0.0017897199999999999
2023,1552800,"TILE SHOP HOLDINGS, INC.",US-MN,"Retail-Home Furniture, Furnishings & Equipment Stores",6,0.1007100000000001
2023,1163370,"NORTHRIM BANCORP, INC.",US-AK,"Savings Institution, Federally Chartered",8,0.2539399999999999
2021,890066,GLEN BURNIE BANCORP,US-MD,State Commercial Banks,4,0.025160000000000002
2024,858877,"CISCO SYSTEMS, INC.",US-CA,Computer Communications Equipment,7,89.1099999999997
2024,1628908,"Evolent Health, Inc.",US-VA,Services-Management Services,9,-0.61623
2022,1348911,"KALVISTA PHARMACEUTICALS, INC.",US-MA,Pharmaceutical Preparations,2,-0.89069
2023,807863,"MITEK SYSTEMS, INC.",US-CA,"Computer Peripheral Equipment, NEC",7,-0.024960000000000107
2023,1504461,NGL Energy Partners LP,US-OK,Natural Gas Transmission,0,1.51545
2023,912603,"RADIUS RECYCLING, INC.",US-OR,Wholesale-Misc Durable Goods,6,0.13309
2023,1377789,"AVIAT NETWORKS, INC.",US-TX,Radio & Tv Broadcasting & Communications Equipment,7,0.1511899999999998
2023,1405513,"United States 12 Month Natural Gas Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,-0.13280207999999988
2023,915779,"Daktronics, Inc.",US-SD,Miscellaneous Manufacturing Industries,1,0.35816
2023,1589526,BLUE BIRD CORPORATION,US-GA,Truck & Bus Bodies,1,0.5199599999999999
2022,1396878,"United States Gasoline Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,0.2737109900000001
2024,1082733,"VISIUM TECHNOLOGIES, INC.",US-VA,Services-Computer Programming Services,5,-0.010112880000000001
2021,1341439,Oracle Corporation,US-TX,Services-Prepackaged Software,5,112.51999999999981
2022,36840,"FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY, INC.",US-NJ,Real Estate Investment Trusts,3,0.006339999999999999
2022,1117297,"QuinStreet, Inc.",US-CA,"Services-Business Services, NEC",9,-0.08036000000000021
2021,1549966,Silvercrest Asset Management Group Inc.,US-NY,Investment Advice,3,0.14693000000000012
2024,100378,TWIN DISC INC,US-WI,General Industrial Machinery & Equipment,1,0.057980000000000004
2022,1049521,"MERCURY SYSTEMS, INC.",US-MA,Electronic Components & Accessories,7,-0.16977
2022,1552800,"TILE SHOP HOLDINGS, INC.",US-MN,"Retail-Home Furniture, Furnishings & Equipment Stores",6,0.1570299999999999
2024,1438943,"RANGE IMPACT, INC.",US-OH,Heavy Construction Other Than Bldg Const - Contractors,1,-0.09798082999999999
2022,721371,"Cardinal Health, Inc.",US-OH,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",6,-27.610000000000003
2024,1359841,Hanesbrands Inc.,US-NC,Retail-Apparel & Accessory Stores,6,-3.2043099999999898
2021,866706,ESCO TECHNOLOGIES INC.,US-MO,"Communications Equipment, NEC",7,0.5674600000000001
2024,866787,AUTOZONE INC,US-TN,Retail-Auto & Home Supply Stores,6,25.20110999999993
2024,1020859,"UNITED NATURAL FOODS, INC.",US-RI,"Wholesale-Groceries, General Line",6,-0.66
2024,1474903,"BGSF, INC.",US-TX,Services-Help Supply Services,9,0.02015999999999997
2021,1477246,S&W SEED CO,US-CO,Agricultural Production-Crops,1,-0.3131338199999996
2021,707605,AMERISERV FINANCIAL INC /PA/,US-PA,National Commercial Banks,4,0.07072
2024,935703,"DOLLAR TREE, INC.",US-VA,Retail-Variety Stores,6,-30.301000000000023
2024,1613103,Medtronic plc,IE-,Electromedical & Electrotherapeutic Apparatus,1,49.28
2021,72331,NORDSON CORPORATION,US-OH,"General Industrial Machinery & Equipment, NEC",1,5.28917
2024,880117,SANFILIPPO JOHN B & SON INC,US-IL,Sugar & Confectionery Products,2,0.52208
2023,1423221,QUANEX BUILDING PRODUCTS CORPORATION,US-TX,Rolling Drawing & Extruding of  Nonferrous Metals,1,0.911569999999998
2021,54187,MAYS J W INC,US-NY,Opeators of  Nonresidential Buildings,1,-0.00670422
2023,882835,"ROPER TECHNOLOGIES, INC.",US-FL,"Industrial Instruments For Measurement, Display, and Control",1,13.84199999999997
2023,1169770,"BANC OF CALIFORNIA, INC.",US-CA,National Commercial Banks,4,-18.99137
2023,34563,FARMER BROTHERS CO,US-TX,Miscellaneous Food Preparations & Kindred Products,2,-0.21449
2021,1092796,"Smith & Wesson Brands, Inc.",US-TN,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",1,-2.645839999999996
2022,1023731,"8x8, INC.",US-CA,Services-Computer Processing & Data Preparation,5,-1.07283
2021,1116132,"Tapestry, Inc.",US-NY,Leather & Leather Products,1,8.36299999999999
2021,828530,ADMIRAL FINANCIAL CORP.,US-FL,"Savings Institution, Federally Chartered",8,0.0
2023,1157647,"Western New England Bancorp, Inc.",US-MA,"Savings Institution, Federally Chartered",8,0.1506800000000001
2024,1371451,"HIGHWATER ETHANOL, LLC",US-MN,Industrial Organic Chemicals,2,0.0529732700000001
2022,1434524,CLEARSIGN TECHNOLOGIES CORPORATION,US-OK,"Industrial Instruments For Measurement, Display, and Control",1,-0.05758
2022,1024478,"Rockwell Automation, Inc.",US-WI,"Measuring & Controlling Devices, NEC",7,10.336999999999989
2023,1636519,MADISON SQUARE GARDEN SPORTS CORP.,US-NY,Services-Miscellaneous Amusement & Recreation,9,1.00161
2023,1302215,"Houlihan Lokey, Inc.",US-CA,Investment Advice,3,2.622749999999999
2022,1490906,"Capitol Federal Financial, Inc.",US-KS,"Savings Institution, Federally Chartered",8,0.8016700000000001
2021,1314052,ANAVEX LIFE SCIENCES CORP.,US-NY,"Biological Products, (No Diagnostic Substances)",2,-0.3939787100000001
2024,720875,Dynatronics Corporation,US-MN,Surgical & Medical Instruments & Apparatus,1,-0.02476919
2022,1082733,"VISIUM TECHNOLOGIES, INC.",US-VA,Services-Computer Programming Services,5,-0.04767734
2022,939930,"Pyxus International, Inc.",US-NC,Wholesale-Farm Product Raw Materials,1,-0.48633
2022,891166,"UNIVERSAL INSURANCE HOLDINGS, INC.",US-FL,"Fire, Marine & Casualty Insurance",1,-0.2225700000000001
2024,37785,FMC CORPORATION,US-PA,Chemicals & Allied Products,2,3.41099999999999
2022,863894,VERU INC.,US-FL,Pharmaceutical Preparations,2,-0.972779389999999
2022,896156,Ethan Allen Interiors Inc.,US-CT,"Wood Household Furniture, (No Upholstered)",1,1.07474
2023,1438133,"Tandem Diabetes Care, Inc.",US-CA,Surgical & Medical Instruments & Apparatus,1,-2.2261100000000003
2022,1108134,"BERKSHIRE HILLS BANCORP, INC.",US-MA,"Savings Institutions, Not Federally Chartered",8,0.92533
2021,1396878,"United States Gasoline Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,0.48257088000000004
2024,788920,"PRO-DEX, INC.",US-CA,Surgical & Medical Instruments & Apparatus,1,0.05816
2021,1320414,SELECT MEDICAL HOLDINGS CORP,US-PA,Services-Hospitals,9,4.29296
2023,768408,Cyanotech Corp,US-HI,Medicinal Chemicals & Botanical Products,2,-0.03784000000000001
2021,833444,JOHNSON CONTROLS INTERNATIONAL PLC,IE-,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,1,18.71999999999999
2021,1302215,"Houlihan Lokey, Inc.",US-CA,Investment Advice,3,4.910929999999991
2022,1066194,eGain Corporation,US-CA,Services-Prepackaged Software,5,-0.02286
2021,1265131,Hilltop Holdings Inc.,US-TX,State Commercial Banks,4,3.7449500000000002
2023,890066,GLEN BURNIE BANCORP,US-MD,State Commercial Banks,4,0.014289999999999999
2023,10456,Baxter International Inc.,US-IL,Surgical & Medical Instruments & Apparatus,1,26.55999999999999
2022,810136,"PHOTRONICS, INC.",US-CT,Semiconductors & Related Devices,7,1.03878
2022,1128361,"HOPE BANCORP, INC.",US-CA,National Commercial Banks,4,2.182770000000002
2024,1092796,"Smith & Wesson Brands, Inc.",US-TN,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",1,0.05835
2021,48465,HORMEL FOODS CORPORATION,US-MN,Meat Packing Plants,1,8.213059999999981
2022,800240,The ODP Corporation,US-FL,Retail-Miscellaneous Shopping Goods Stores,6,1.659999999999999
2023,771497,ABM INDUSTRIES INCORPORATED,US-NY,Services-To Dwellings & Other Buildings,9,2.928000000000002
2024,1499961,MULLEN AUTOMOTIVE INC.,US-CA,Motor Vehicles & Passenger Car Bodies,1,-5.12184437
2022,1066656,CERES CLASSIC L.P.,US-NY,Commodity Contracts Brokers & Dealers,3,0.35690756
2023,1078271,"EXTREME NETWORKS, INC.",US-NC,Computer Communications Equipment,7,0.76926
2024,1308547,"DOLBY LABORATORIES, INC.",US-CA,Patent Owners & Lessors,1,2.425399999999997
2024,205402,"GRAYBAR ELECTRIC COMPANY, INC.",US-MO,"Wholesale-Electrical Apparatus & Equipment, Wiring Supplies ",1,4.231
2022,880641,"EAGLE FINANCIAL SERVICES, INC.",US-VA,State Commercial Banks,4,0.14521
2023,1074871,"MODULAR MEDICAL, INC.",US-CA,Surgical & Medical Instruments & Apparatus,1,-0.16547000000000012
2021,1442492,"Laredo Oil, Inc.",US-TX,Crude Petroleum & Natural Gas,0,0.011660919999999998
2024,31667,EDUCATIONAL DEVELOPMENT CORPORATION,US-OK,Wholesale-Miscellaneous Nondurable Goods,6,-0.055327
2022,1441236,CLEARWATER PAPER CORPORATION,US-WA,Paperboard Mills,1,0.7250000000000001
2024,80172,NATIONAL PRESTO INDUSTRIES INC,US-WI,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",1,0.4146000000000002
2022,1262976,Cimpress plc,IE-,Commercial Printing,6,-3.0907500000000026
2021,1600033,"e.l.f. Beauty, Inc.",US-CA,"Perfumes, Cosmetics & Other Toilet Preparations",2,0.20189999999999989
2023,936528,"WAFD, INC.",US-WA,National Commercial Banks,4,2.479370000000003
2021,57131,LA-Z-BOY INCORPORATED,US-MI,Household Furniture,1,1.2178099999999992
2021,55242,KENNAMETAL INC.,US-PA,"Machine Tools, Metal Cutting Types",1,1.10861
2022,8947,AZZ Inc.,US-TX,"Coating, Engraving & Allied Services",1,-0.32950000000000096
2022,1624794,"CSW INDUSTRIALS, INC.",US-TX,Adhesives & Sealants,1,0.87819
2023,716314,GRAHAM CORP,US-NY,General Industrial Machinery & Equipment,1,0.03584
2021,1590976,"MALIBU BOATS, INC.",US-TN,Ship & Boat Building & Repairing,1,1.243579999999999
2021,40570,GEE GROUP INC.,US-FL,Services-Employment Agencies,9,0.13059
2023,912728,FORWARD AIR CORPORATION,US-TN,Arrangement of  Transportation of  Freight & Cargo,1,1.6735100000000003
2021,859070,FIRST COMMUNITY BANKSHARES INC /VA/,US-VA,State Commercial Banks,4,0.51168
2022,1224608,"CNO Financial Group, Inc.",US-IN,Accident & Health Insurance,9,6.30599999999999
2022,1549966,Silvercrest Asset Management Group Inc.,US-NY,Investment Advice,3,0.1882799999999999
2021,46619,HEICO CORPORATION,US-FL,Aircraft Engines & Engine Parts,1,3.113720000000002
2022,1169770,"BANC OF CALIFORNIA, INC.",US-CA,National Commercial Banks,4,1.209390000000001
2024,1000230,OPTICAL CABLE CORPORATION,US-VA,Drawing & Insulating of  Nonferrous Wire,1,-0.03892368
2022,99780,TRINITY INDUSTRIES INC,US-TX,Railroad Equipment,1,0.601
2024,1636519,MADISON SQUARE GARDEN SPORTS CORP.,US-NY,Services-Miscellaneous Amusement & Recreation,9,0.6932300000000001
2024,216877,"PISMO COAST VILLAGE, INC.",US-CA,"Hotels, Rooming Houses, Camps & Other Lodging Places",9,0.01274
2021,1020859,"UNITED NATURAL FOODS, INC.",US-RI,"Wholesale-Groceries, General Line",6,2.38
2021,216877,"PISMO COAST VILLAGE, INC.",US-CA,"Hotels, Rooming Houses, Camps & Other Lodging Places",9,0.035584450000000004
2021,896429,"Cantaloupe, Inc.",US-PA,Calculating & Accounting Machines (No Electronic Computers),1,-0.05455
2022,91767,SONOCO PRODUCTS COMPANY,US-SC,Paperboard Containers & Boxes,1,3.3379600000000003
2024,849146,LIFEVANTAGE CORP,US-UT,Pharmaceutical Preparations,2,0.07694000000000001
2021,928465,AMCON DISTRIBUTING CO,US-NE,"Wholesale-Groceries, General Line",6,0.12812383000000002
2023,849146,LIFEVANTAGE CORP,US-UT,Pharmaceutical Preparations,2,0.02017
2024,1066194,eGain Corporation,US-CA,Services-Prepackaged Software,5,0.04322
2023,715446,"ANIXA BIOSCIENCES, INC.",US-CA,Pharmaceutical Preparations,2,-0.10565000000000001
2022,38777,"FRANKLIN RESOURCES, INC.",US-CA,Investment Advice,3,10.27999999999999
2022,1436425,"HOME BANCORP, INC.",US-LA,"Savings Institutions, Not Federally Chartered",8,0.3407199999999999
2023,16058,CACI International Inc,US-VA,Services-Computer Integrated Systems Design,5,3.714010000000001
2021,1571996,Dell Technologies Inc.,US-TX,Electronic Computers,7,55.62999999999988
2023,78814,PITNEY BOWES INC.,US-CT,"Office Machines, NEC",1,-3.8562700000000003
2023,1124140,EXACT SCIENCES CORPORATION,US-WI,Services-Medical Laboratories,9,-2.041490000000001
2021,12208,"BIO-RAD LABORATORIES, INC.",US-CA,Laboratory Analytical Instruments,1,42.54199999999998
2023,729986,UNITED BANKSHARES INC/WV,US-WV,State Commercial Banks,4,3.663129999999998
2022,804328,QUALCOMM INC/DE,US-CA,Radio & Tv Broadcasting & Communications Equipment,7,126.28999999999971
2021,807882,JACK IN THE BOX INC.,US-CA,Retail-Eating  Places,6,1.552600000000002
2021,909832,COSTCO WHOLESALE CORP /NEW,US-WA,Retail-Variety Stores,6,49.84
2021,37472,"FLEXSTEEL INDUSTRIES, INC.",US-IA,Household Furniture,1,0.0752700000000002
2023,933974,"Azenta, Inc.",US-MA,"Special Industry Machinery, NEC",1,0.031409999999999993
2021,1057379,"Hackett Group, Inc.",US-FL,Services-Management Consulting Services,9,0.41545
2024,1034054,SBA COMMUNICATIONS CORPORATION,US-FL,Real Estate Investment Trusts,3,7.49535999999999
2023,74260,OLD REPUBLIC INTERNATIONAL CORPORATION,US-IL,Surety Insurance,9,5.985000000000001
2022,78814,PITNEY BOWES INC.,US-CT,"Office Machines, NEC",1,0.05068
2024,807882,JACK IN THE BOX INC.,US-CA,Retail-Eating  Places,6,-1.8593400000000002
2023,310764,STRYKER CORP,US-MI,Surgical & Medical Instruments & Apparatus,1,31.65
2022,866787,AUTOZONE INC,US-TN,Retail-Auto & Home Supply Stores,6,22.54256999999999
2023,1624794,"CSW INDUSTRIALS, INC.",US-TX,Adhesives & Sealants,1,0.85487
2021,887343,"COLUMBIA BANKING SYSTEM, INC.",US-WA,State Commercial Banks,4,2.1292600000000004
2023,65270,"METHODE ELECTRONICS, INC.",US-IL,Electronic Connectors,7,-0.461
2024,1002047,"NetApp, Inc.",US-CA,Computer Storage Devices,7,11.58999999999998
2022,1170010,"CARMAX, INC.",US-VA,Retail-Auto Dealers & Gasoline Stations,6,6.85187999999998
2024,1282648,Battalion Oil Corp,US-TX,Crude Petroleum & Natural Gas,0,-0.31882
2021,1304492,Anterix Inc.,US-NJ,Telephone Communications (No Radiotelephone),9,-0.37437
2023,1130144,SIERRA BANCORP,US-CA,State Commercial Banks,4,0.3484399999999998
2022,1157408,"Stride, Inc.",US-VA,Services-Educational Services,9,1.138709999999998
2023,320193,Apple Inc.,US-CA,Electronic Computers,7,978.379999999999
2024,74260,OLD REPUBLIC INTERNATIONAL CORPORATION,US-IL,Surety Insurance,9,8.52499999999998
2022,310764,STRYKER CORP,US-MI,Surgical & Medical Instruments & Apparatus,1,23.57999999999999
2023,933034,STRATTEC SECURITY CORP,US-WI,Motor Vehicle Parts & Accessories,1,0.006749999999999999
2024,1039280,"NETSOL TECHNOLOGIES, INC.",US-CA,Services-Prepackaged Software,5,-0.00421149
2021,1415744,NORTHERN MINERALS & EXPLORATION LTD.,US-UT,Gold and Silver Ores,1,-0.00159059
2024,717423,MURPHY OIL CORPORATION,US-TX,Crude Petroleum & Natural Gas,0,4.071350000000001
2024,14846,BRT APARTMENTS CORP.,US-NY,Real Estate Investment Trusts,3,-0.09791
2022,1209709,CERES TACTICAL SYSTEMATIC L.P.,US-NY,Commodity Contracts Brokers & Dealers,3,0.08743712000000001
2023,12208,"BIO-RAD LABORATORIES, INC.",US-CA,Laboratory Analytical Instruments,1,-6.373000000000012
2024,836157,Lindsay Corporation,US-NE,Farm Machinery & Equipment,1,0.7604500000000001
2022,933974,"Azenta, Inc.",US-MA,"Special Industry Machinery, NEC",1,0.8722
2024,73309,NUCOR CORPORATION,US-NC,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",1,19.66999999999994
2022,9092,"BADGER METER, INC.",US-WI,Totalizing Fluid Meters & Counting Devices,1,0.66496
2024,105132,WD-40 COMPANY,US-CA,Miscellaneous Chemical Products,2,0.74145
